Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,Menzioni,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0001793,,,,,,2016,Vino Nobile Di Montepulciano Vigna Scianello,DOCG,Vino Nobile Di Montepulciano,La Ciarliana,Toscana,3,35-39,Prugnolo gentile 100%,Risotto ai finferli,,86,,86,,na,Rosso fermo,15,5k,12 mesi in botte,"Rubino intenso con striature granato. Al naso emergono profumi netti di ciliegia, susina e viola, seguite in secondo piano da foglia di tabacco, pepe nero e note iodate. Tannino in fase di definizio- ne di buona trama con sapidità in evidenza. Chiude lungo con piacevoli note fruttate.",,na,na,na,na,na,Italia,2,,,
,00001793-1,0.34,2,0.06,1,3.0,,Vino Nobile Di Montepulciano Vigna Scianello,DOCG,Vino Nobile Di Montepulciano,La Ciarliana,Toscana,3★,35-39,Prugnolo gentile 100%,Risotto ai finferli,,na,,na,,na,Rosso fermo,15,5k,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000720,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,3,45-49,Sangiovese 100%,Gran pezzo di manzo con patate,,87,,87,,na,Rosso fermo,14.5,40k,36 mesi in botte grande + 8 mesi in bottiglia,"Colore granato. Olfatto di evoluzione,  in cui prevale la frutta in confettura  e sotto spirito. Completano il quadro petali appassiti, torrefazione, sigaro toscano, sottobosco. Gusto caldo ed equilibrato con tannini evoluti e chiusura prolungata. Una criomacerazione precede la fermentazione in acciaio. Riposa in botte grande per 3 anni e affina 8 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000720,,,,,,2012,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,3,45-49,Sangiovese 100%,Arista di maiale alle erbe,,88,,88,,na,Rosso fermo,14,35k,36 mesi in botte grande + 8 mesi in bottiglia,"Rosso granato. Esordisce con rosa appassita e susina in confettura, si allarga comprendendo timo e rosmarino, insieme alle sensazioni tostate che ricordano cioccolato, vaniglia e tabacco da pipa. Ha vigorosa struttura tannica, ben cesellata, e ripropone aromi fruttati coerenti. La fermentazione avviene  in acciaio e la maturazione in botti di rovere di Slavonia da 50 e 100 ettolitri per 36 mesi ",,na,na,na,na,na,Italia,2,,,
,0000720,,,,,,2013,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,5,45-49,Sangiovese 100%,Petto d'anatra con foie gras e salsa di ciliegie,,91,,91,,na,Rosso fermo,13.5,40k,36 mesi in botte grande + 8 mesi in bottiglia,"Rosso granato, limpido e luminoso. Colpisce per la suadenza dei suoi profumi: gelatina di lampone, ciliegia candita, arancia sanguinella, petali di rosa, fusi insieme a liquirizia, tabacco, cannella e accenni balsamici. In bocca è slanciato, grazie a una generosa spalla acida e sapida e ai tannini setosi, dal carattere agile. Chiusura persistente, dai ritorni balsamici. Fermenta in acciaio  e matura in botti grandi di rovere di Slavonia per 3 anni, per poi affinare in bottiglia per 8 mesi. ",,na,na,na,na,na,Italia,2,,,
,0000720,,,,,,2014,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,3,45-49,Sangiovese 100%,Cannelloni al forno,,87,,87,,na,Rosso fermo,14,20k,36 mesi in botte grande,"Granato trasparente. Sensazioni di menta e viola anticipano quelle di  ribes rosso e lampone, per concludere con un tocco di liquirizia e ruta. Ha struttura discreta che mette in risalto la sapidità, tannini ben estratti e progressione dinamica, con persistenza di bergamotto. Vinificazione in acciaio con una settimana di criomacerazione; riposa in botti di rovere da 50 e 100 ettolitri per 36 mesi ",,na,na,na,na,na,Italia,2,,,
,0000720,,,,,,2015,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4,45-49,Sangiovese 100%,Coniglio alla cacciatora,,89,,89,,na,Rosso fermo,14,40k,36 mesi in botte grande,"Tonalità rubino con riflesso granato  | profumi evoluti di fiori essiccati, marasca e amarena sciroppata prevalgono rispetto a timo, rosmarino, malva e tocchi speziati di pepe e cannella; in lontananza si avverte un accenno di liquirizia e cuoio. | tannini vellutati incontrano la netta alcolicità;  la sapidità emerge in maniera distinta nello sviluppo gustativo. Si congeda con ciliegia sotto spirito. Fermenta in acciaio con una settimana di criomacerazione prefermentativa e matura per 3 anni in grandi botti di rovere di Slavonia. ",,na,na,na,na,na,Italia,2,,,
,0000720,,,,,,2016,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4,50-54,Sangiovese 100%,nd,,89,,89,,na,Rosso fermo,14,40k,36 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,0000720-1,6.00,40,0.77,22,3.7,,Brunello,DOCG,Brunello Di Montalcino,La Gerla,Toscana,3★-5★,50-54,Sangiovese 100%,Gran pezzo di manzo con patate – Arista di maiale alle erbe – Petto d'anatra con foie gras e salsa di ciliegie – Cannelloni al forno – Coniglio alla cacciatora,,na,,na,,na,Rosso fermo,14,20k-40k,36 mesi in botte grande + 8 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000719,,,,,,2010,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4,75-79,Sangiovese 100%,Petto di fagiano lardellato con salvia e purè,Riserva,89,,89,,na,Rosso fermo,14.5,6k,4 mesi in acciaio + 48 mesi in legno,"Cangiante sfumatura di granato Elegante apertura floreale che introduce uno a uno altri profumi, con adagio garbato: marasca, terra bagnata, tabacco, erbe officinali, caramella  alla liquirizia, noce moscata, chiodi di garofano. In bocca è vibrante per la tensione creata da tannini e acidità Dimostra grande potenzialità evolutiva. Finale persistente di erbe balsamiche. Fermentazione con délestage e successiva maturazione in botti grandi di rovere di Slavonia per 48 mesi, quindi un anno di bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000719,,,,,,2011,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4,70-74,Sangiovese 100%,Girato di tordi,Riserva,90,,90,,na,Rosso fermo,14,6k,4 mesi in acciaio + 48 mesi in legno,"Rosso granato trasparente. Ha naso assai variegato: in primo piano arancia rossa, violetta ed erbe officinali, poi subentrano lentamente tocchi speziati di macis e pepe bianco, ricordi di mandorla, torrefazione, pralina al  caffè. Al sorso è caldo e dinamico nella progressione, condotta da tannini piuttosto levigati, che danno struttura al vino. Gli aromi di bocca sono fruttati. Fermenta in acciaio e barrique; matura per 48 mesi in grandi botti di rovere di Slavonia e affina un anno in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0000719,,,,,,2012,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4,70-74,Sangiovese 100%,Stracotto di manzo,Riserva,90,,90,,na,Rosso fermo,14.5,9k,4 mesi in acciaio + 48 mesi in legno,"Rosso granato dal riflesso aranciato. Cattura l'olfatto un'espressione nitida di erbe officinali, che introducono mirtillo  e ciliegia, in confettura e sotto spirito  La rotazione del calice sprigiona scorza d’arancia, anice stellato, caffè, pot-pourri di fiori e cuoio. Al palato è potente, caldo, dotato di una fitta trama tannica. Epilogo di arancia amara. Vinificato in barrique francesi, riposa per 4 anni in grandi botti di rovere di Slavonia ",,na,na,na,na,na,Italia,2,,,
,0000719,,,,,,2013,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,5,75-79,Sangiovese 100%,Fagiano lardellato,Riserva,92,,92,,na,Rosso fermo,14.5,5k,4 mesi in acciaio + 48 mesi in legno,"Rosso granato. Il profumo composito spazia dalla gelatina di frutta all’alloro, passando per pepe bianco, sigaro, sottobosco e cenni mentolati. Ha spessore notevole al gusto, con una fitta trama di tannini setosi. Vanta anche un'ottima acidità e un finale persistente e balsamico. Fermenta in acciaio, resta in macerazione 15 giorni dopo il termine della fermentazione e matura in botti grandi per 48 mesi ",,na,na,na,na,na,Italia,2,,,
,0000719,,,,,,2015,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,5,100-124,Sangiovese 100%,Filetto all'aceto balsamico,Riserva,93,,93,,na,Rosso fermo,14.5,10k,4 mesi in acciaio + 48 mesi in legno,"Granato trasparente e luminoso. L’impatto è floreale con petali di rosa appassiti, seguono confettura di fragoline selvatiche, ribes, erbe balsamiche, cannella, noce moscata, tabacco da pipa. In bocca è dinamico e scattante, i tannini ben eseguiti si integrano con le note fruttate. È lunghissimo",,na,na,na,na,na,Italia,2,,,
,0000719-1,8.97,60,0.54,15,4.4,,Brunello Riserva Gli Angeli,DOCG,Brunello Di Montalcino,La Gerla,Toscana,4★-5★,100-124,Sangiovese 100%,Petto di fagiano lardellato con salvia e purè – Girato di tordi – Stracotto di manzo – Fagiano lardellato – Filetto all'aceto balsamico,Riserva,na,,na,,na,Rosso fermo,14.5,5k-10k,4 mesi in acciaio + 48 mesi in legno,,,na,na,na,na,na,Italia,1,,,
,0000846,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,2,25-29,Sangiovese 100%,Tagliolini al tartufo,,84,,84,,na,Rosso fermo,14.5,60k,6 mesi in acciaio + 36 mesi in botte grande + 4 mesi in bottiglia,"Rubino con riflessi granato. Profuma di mora, mirtillo, viola, sottobosco, tartufo, felce, arancia e note fumé. Bocca centrata sulle durezze, discretamente lungo con piacevole chiusura chinata. Riposa per 6 mesi in acciaio e 36 in botti grandi, completa con 4 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000846-1,0.12,1,0.03,1,2.0,,Brunello,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,2★,25-29,Sangiovese 100%,Tagliolini al tartufo,,na,,na,,na,Rosso fermo,14.5,60k,6 mesi in acciaio + 36 mesi in botte grande + 4 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000847,,,,,,2010,Brunello Riserva,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,3,30-34,Sangiovese 100%,Colombacci al forno,Riserva,86,,86,,na,Rosso fermo,14.5,20k,6 mesi in acciaio + 36 mesi in botte grande + 6 mesi in bottiglia,"Manto granato luminoso. Si esprime con suadenti profumi di lamponi, nota fumé, cuoio, anice, erbe aromatiche, eucalipto, tabacco e paglia. Sorso elegante che esprime tutta la sua territorialità. Sosta per 6 mesi in acciaio e per 36 in botti grandi, a cui ne seguono altri 6 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000847-1,0.34,2,0.07,2,3.0,,Brunello Riserva,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,3★,30-34,Sangiovese 100%,Colombacci al forno,Riserva,na,,na,,na,Rosso fermo,14.5,20k,6 mesi in acciaio + 36 mesi in botte grande + 6 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000848,,,,,,2010,Brunello Riserva Vigna Manapetra,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,3,30-34,Sangiovese 100%,Bocconcini di cervo con polenta,Riserva,86,,86,,na,Rosso fermo,14.5,20k,6 mesi in acciaio + 36 mesi in botte grande + 6 mesi in bottiglia,"Splendente veste granato. Al naso impatto intenso ed elegante di ciliegia, rosa appassita, cumino, alloro,  con nuance di lavanda essiccata e cioccolato fondente. Il sorso mostra carattere e avvolgenza; la componente morbida del vino equilibra bene la dinamica fattura tannica. Buona lunghezza gustativa con richiami di ciliegia sul finale. Vinificato in acciaio, matura in acciaio per 6 mesi e in  botti grandi per 36 mesi, completa l'affinamento con altri 6 mesi di bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000848-1,0.34,2,0.07,2,3.0,,Brunello Riserva Vigna Manapetra,DOCG,Brunello Di Montalcino,La Lecciaia,Toscana,3★,30-34,Sangiovese 100%,Bocconcini di cervo con polenta,Riserva,na,,na,,na,Rosso fermo,14.5,20k,6 mesi in acciaio + 36 mesi in botte grande + 6 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000509,,,,,,2016,Chianti Classico,DOCG,Chianti Classico,La Montanina,Toscana,3,10-14,Sangiovese 95% – Merlot 5%,Filetto lardellato,,86,,86,,na,Rosso fermo,13.5,20k,18 mesi in botte + 6 mesi in bottiglia,"Veste rosso rubino vivace. Presenta aromi  di ribes, susina rossa, viola mammola, rosa, pepe nero e una nota balsamica in sottofondo. L’'ingresso in bocca è diretto, avvolgente e gustoso con una piacevole freschezza e tannini integrati. Buona lunghezza con un ritorno di frutti di bosco. ",,na,na,na,na,na,Italia,2,,,
,0000509-1,0.34,3,0.21,#DIV/0!,3.0,,Chianti Classico,DOCG,Chianti Classico,La Montanina,Toscana,3★,10-14,Sangiovese 95% – Merlot 5%,Filetto lardellato,,na,,na,,na,Rosso fermo,13.5,20k,18 mesi in botte + 6 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0001944,,,,,,2016,Morellino Di Scansano I Perazzi,DOCG,Morellino Di Scansano,La Mozza,Toscana,3,15-19,Sangiovese 85% – Alicante 5% – Altri 10%,Panino con la porchetta,,86,,86,,na,Rosso fermo,14,125k,12 mesi in acciaio,"Rubino intenso. Profumi di rabarbaro e ciliegia in confettura aprono la strada a fiore  di sambuco, erbe aromatiche, muschio, chiodi di garofano, alloro e infine cenni balsamici  In bocca esplode il frutto, sensazioni fresche e minerali si fondono al tannino ben svolto. Finale di buona persistenza. Matura 12 mesi in acciaio e affina altri 12 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,00001944-1,0.34,2,0.14,2,3.0,,Morellino Di Scansano I Perazzi,DOCG,Morellino Di Scansano,La Mozza,Toscana,3★,15-19,Sangiovese 85% – Alicante 5% – Altri 10%,Panino con la porchetta,,na,,na,,na,Rosso fermo,14,125k,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0000836,,,,,,2011,Brunello,DOCG,Brunello Di Montalcino,La Palazzetta,Toscana,4,30-34,Sangiovese 100%,Fagiano al forno con lardo di Colonnata,,89,,89,,na,Rosso fermo,15,25k,40 mesi in botte + 8 mesi in bottiglia,"Rosso granato dal bordo di elegante trasparenza. Il profilo olfattivo, nitido  e intenso, si apre con note di humus e fiori appassiti, poi svela confettura di visciola, sigaro, spezie orientali come cardamomo e cumino; infine evolve accennando a scorza d'arancia e anice stellato. Si sviluppa dinamicamente  al palato con ingresso fresco, seguito da un'ottima sapidità e bei tannini che sostengono la struttura senza alcuna astringenza. Guadagna pienezza e lunghezza dal finale di rabarbaro. Vinificato con lieviti spontanei in acciaio, continua la maturazione in botti grandi di rovere francese per 3 anni e mezzo circa. ",,na,na,na,na,na,Italia,2,,,
,0000836,,,,,,2012,Brunello,DOCG,Brunello Di Montalcino,La Palazzetta,Toscana,4,30-34,Sangiovese 100%,Tordi allo spiedo,,89,,89,,na,Rosso fermo,15,25k,40 mesi in botte + 8 mesi in bottiglia,"Granato di buona intensità. Quadro olfattivo variegato, con confettura di frutti rossi, ciliegia sotto spirito, glicine, tabacco, chiodi di garofano, sbuffi terrosi e fumé. Si intravede sullo sfondo una traccia di goudron. Al gusto si avverte una tessitura tannica energica e dinamica, che fa da sostegno alle sensazioni fruttate e ben si contrappone all'imponente componente calorica  Sul finale si affacciano saporiti ricordi speziati. Matura in botti grandi di rovere per 40 mesi e affina per altri 8 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0000836-1,2.00,13,0.42,12,4.0,,Brunello,DOCG,Brunello Di Montalcino,La Palazzetta,Toscana,4★,30-34,Sangiovese 100%,Fagiano al forno con lardo di Colonnata – Tordi allo spiedo,,na,,na,,na,Rosso fermo,15,25k,40 mesi in botte + 8 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0001877,,,,,,2014,Chianti Colli Fiorentini La Torretta,DOCG,Chianti,La Querce,Toscana,2,10-14,Sangiovese 90% – Canaiolo 5% – Merlot 5%,Spaghetti all'amatriciana,Colli Fiorentini,84,,84,,na,Rosso fermo,14,10k,15 mesi in botte,"Color rosso rubino pieno. Naso subito floreale,fruttato e leggermente speziato, con sentoridi amarene sotto spirito, ribes rosso, violettedi campo, begonia, cannella e chiodi digarofano. Al palato entra caldo e avvolgente,in sostanziale equilibrio con la componentetannica. Finale fruttato. Sosta per 15 mesi inbotti di Allier di media tostatura e affina per 4mesi in vetro.",,na,na,na,na,na,Italia,2,,,
,0001877,,,,,,2015,Chianti Colli Fiorentini La Torretta,DOCG,Chianti,La Querce,Toscana,3,10-14,Sangiovese 90% – Canaiolo 5% – Merlot 5%,Sella di camoscio brasata,Colli Fiorentini,85,,85,,na,Rosso fermo,14,10k,15 mesi in botte,"Rosso rubino di media trasparenza. Bouquetvariegato: lampone, fragola di bosco, ribesrosso e in chiusura una ricercata nota dicioccolatino alla menta. Il palato manifestagiovinezza e tensione tra alcol, acidità etannino, ma, visto in prospettiva, è un vino cherichiede ancora un po' di pazienza e diventeràpiù espressivo tra un anno; anche la lungapersistenza non passa inosservata. Matura per15 mesi in botti di Allier e affina per 4 in vetro.",,na,na,na,na,na,Italia,2,,,
,0001877,,,,,,2016,Chianti Colli Fiorentini Riserva La Torretta,DOCG,Chianti,La Querce,Toscana,3,15-19,Sangiovese 90% – Canaiolo 5% – Merlot 5%,Peposo all'imprunetina,Colli Fiorentini,85,,85,,na,Rosso fermo,14.5,8k,24 mesi in botte,"Veste rubino intenso. Appaga l'olfatto consensazioni di ciliegia, lampone e ribes; i sentorifloreali subentrano in seconda battuta, con laviola mammola in primis, ma anche humus ericordi speziati. In bocca mostra una generosacomponente alcolica, subito frenata grazie a untannino levigato e ben fatto. Acidità lievementedefilata. Riposa in grandi botti per 15 mesi",,na,na,na,na,na,Italia,2,,,
,0001877,,,,,,2017,Chianti Colli Fiorentini Riserva La Torretta,DOCG,Chianti,La Querce,Toscana,2,15-19,Sangiovese 90% – Canaiolo 10%,nd,Colli Fiorentini,84,,84,,na,Rosso fermo,14.5,6k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001877,,,,,,2018,Chianti Colli Fiorentini Riserva La Torretta,DOCG,Chianti,La Querce,Toscana,3,15-19,Sangiovese 90% – Canaiolo 5% – Merlot 5%,nd,Colli Fiorentini,85,,85,,na,Rosso fermo,14.5,7k,24 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,00001877-1,1.25,9,0.55,23,2.6,,Chianti Colli Fiorentini Riserva La Torretta,DOCG,Chianti,La Querce,Toscana,2★-3★,15-19,Sangiovese – Canaiolo – Merlot,Spaghetti all'amatriciana – Sella di camoscio brasata – Peposo all'imprunetina,Colli Fiorentini,na,,na,,na,Rosso fermo,14.5,6k-10k,24 mesi in botte,,"Nell'annata 2016 è stata aggiunta la menzione ""Riserva""",na,na,na,na,na,Italia,1,,,
,0001878,,,,,,2018,Chianti Colli Fiorentini Sorrettole,DOCG,Chianti,La Querce,Toscana,2,5-9,Sangiovese 80% – Canaiolo 10% – Colorino 5% – Merlot 5%,nd,Colli Fiorentini,84,,84,,na,Rosso fermo,13.5,15k,15 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001878,,,,,,2019,Chianti Colli Fiorentini Sorrettole,DOCG,Chianti,La Querce,Toscana,2,5-9,Sangiovese 80% – Canaiolo 10% – Colorino 5% – Merlot 5%,nd,Colli Fiorentini,84,,84,,na,Rosso fermo,13.5,12k,15 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,00001878-1,0.57,4,0.61,26,2.3,,Chianti Colli Fiorentini Sorrettole,DOCG,Chianti,La Querce,Toscana,1★-2★,5-9,Sangiovese 80% – Canaiolo 10% – Colorino 5% – Merlot 5%,nd,Colli Fiorentini,na,,na,,na,Rosso fermo,13.5,12k-15k,15 mesi in botte,,"Nell'annata 2018 è stata aggiunta la menzione ""Colli Fiorentini""",na,na,na,na,na,Italia,1,,,
,0001878,,,,,,2015,Chianti Sorrettole,DOCG,Chianti,La Querce,Toscana,1,5-9,Sangiovese 80% – Canaiolo 10% – Colorino 5% – Merlot 5%,nd,,79,,79,,na,Rosso fermo,13.5,14k,15 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001878,,,,,,2016,Chianti Sorrettole,DOCG,Chianti,La Querce,Toscana,1,5-9,Sangiovese 80% – Canaiolo 10% – Colorino 5% – Merlot 5%,nd,,79,,79,,na,Rosso fermo,14,15k,15 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000355,,,,,,2019,Chianti Classico,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,2,15-19,Sangiovese 100%,nd,,84,,84,,na,Rosso fermo,14,30k,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000355-1,0.12,1,0.05,#DIV/0!,2.0,,Chianti Classico,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,2★,15-19,Sangiovese 100%,nd,,na,,na,,na,Rosso fermo,14,30k,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000353,,,,,,2018,Chianti Classico Gran Selezione Il Torriano,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,4,45-49,Sangiovese 100%,Paccheri al ragù di anatra,Gran Selezione,89,,89,,na,Rosso fermo,14.5,5k,30 mesi in botte,"Rubino vivace. Naso intenso di mora e mirtilli in confettura, ribes, timo, santoreggia, ematite, viola mammola, cardamomo, arancia sanguinella e menta. Al sorso freschezza e alcol si sostengono nella saporita progressione gustativa, aiutati dal tenace tannino, in un lungo finale di ginger e agrume",,na,na,na,na,na,Italia,2,,,
,0000353-1,1.00,8,0.16,#DIV/0!,4.0,,Chianti Classico Gran Selezione Il Torriano,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,4★,45-49,Sangiovese 100%,Paccheri al ragù di anatra,Gran Selezione,na,,na,,na,Rosso fermo,14.5,5k,30 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000354,,,,,,2018,Chianti Classico Riserva,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,3,25-29,Sangiovese 100%,nd,Riserva,87,,87,,na,Rosso fermo,14,9k,18 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000354-1,0.34,3,0.09,#DIV/0!,3.0,,Chianti Classico Riserva,DOCG,Chianti Classico,La Sala Del Torriano,Toscana,3★,25-29,Sangiovese 100%,nd,Riserva,na,,na,,na,Rosso fermo,14,9k,18 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000363,,,,,,2017,Chianti Classico,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2,10-14,Sangiovese 90% – Altri,nd,,83,,83,,na,Rosso fermo,13.5,90k,?,,,na,na,na,na,na,Italia,2,,,
,0000363-1,0.12,1,0.07,#DIV/0!,2.0,,Chianti Classico,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2★,10-14,Sangiovese 90% – Altri,nd,,na,,na,,na,Rosso fermo,13.5,90k,?,,,na,na,na,na,na,Italia,1,,,
,0000364,,,,,,2012,Chianti Classico Castello Di Lamole Le Stinche,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,3,15-19,Sangiovese 100%,Coniglio alla cacciatora,,86,,86,,na,Rosso fermo,13,5k,12 mesi in barrique e tonneau,"Rubino dalla trama trasparente. Incipit floreale di giaggiolo, vira al frutto con visciola, frutti  di bosco, e ancora felce, humus, pepe bianco e ricordi di sigaro toscano. Pienezza di gusto e tannini di qualità caratterizzano il sorso, sostenuto dall'intreccio di acidità e sapidità; ha grande bevibilità. Gli aromi di bocca sono piacevolmente fruttati. ",,na,na,na,na,na,Italia,2,,,
,0000364,,,,,,2013,Chianti Classico Castello Di Lamole Le Stinche,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,3,15-19,Sangiovese 100%,Costata di maiale alla griglia,,86,,86,,na,Rosso fermo,13.5,8k,24 mesi in botte,"Rosso granato luminoso e vivace. L'olfatto è profondo e allo stesso tempo preciso; all'esordio floreale seguono marasca cotta, prugna, carruba, liquirizia, chiodi di garofano | e macis. In bocca ha carattere elegante, impresso da tannini morbidi, domati, che lasciano emergere il ruolo rinfrescante | dell'acidità. È sapido, porta con sé aromi fruttati e speziati che restano a lungo. ",,na,na,na,na,na,Italia,2,,,
,0000364-1,0.68,5,0.30,#DIV/0!,3.0,,Chianti Classico Castello Di Lamole Le Stinche,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,3★,15-19,Sangiovese 100%,Coniglio alla cacciatora – Costata di maiale alla griglia,,na,,na,,na,Rosso fermo,13.5,5k-8k,12-24 mesi in botti di varie dimensioni,,,na,na,na,na,na,Italia,1,,,
,0000359,,,,,,2019,Chianti Classico Duelame,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2,15-19,Sangiovese 95% – Altri,nd,,83,,83,,na,Rosso fermo,14,80k,15 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0000359-1,0.12,1,0.05,#DIV/0!,2.0,,Chianti Classico Duelame,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2★,15-19,Sangiovese 95% – Altri,nd,,na,,na,,na,Rosso fermo,14,80k,15 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0000362,,,,,,2017,Chianti Classico Etichetta Blu,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2,15-19,Sangiovese 80% – Cabernet Sauvignon 10% – Merlot 10%,nd,,84,,84,,na,Rosso fermo,13.5,95k,?,,,na,na,na,na,na,Italia,2,,,
,0000362-1,0.12,1,0.05,#DIV/0!,2.0,,Chianti Classico Etichetta Blu,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,2★,15-19,Sangiovese 80% – Cabernet Sauvignon 10% – Merlot 10%,nd,,na,,na,,na,Rosso fermo,13.5,95k,?,,,na,na,na,na,na,Italia,1,,,
,0000366,,,,,,2012,Chianti Classico Gran Selezione Lama Della Villa,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,4,60-64,Sangiovese 100%,Agnello in umido,Gran Selezione,90,,90,,na,Rosso fermo,13,1k,18 mesi in botte + 12 mesi in bottiglia,"| Rosso rubino con sfumatura granato, di buona luminosità. Intenso al naso, con sentori di rosmarino che introducono fiori e sottobosco, prima di abbracciare mora di rovo, prugna, cannella, liquirizia e infine ruggine e ginepro. Riesce ad avere grande volume di bocca, pur con una struttura non eccessiva; scorre agevolmente grazie alla vena acida e sapida. Ha tannini ben fatti e un ventaglio di sensazioni aromatiche nella chiusura persistente, dalla frutta alle erbe aromatiche. ",,na,na,na,na,na,Italia,2,,,
,0000366-1,1.00,8,0.12,#DIV/0!,4.0,,Chianti Classico Gran Selezione Lama Della Villa,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,4★,60-64,Sangiovese 100%,Agnello in umido,Gran Selezione,na,,na,,na,Rosso fermo,13,1k,18 mesi in botte + 12 mesi in bottiglia,,,na,na,na,na,na,Italia,1,,,
,0000356,,,,,,2013,Chianti Classico Gran Selezione Vigna Grospoli,DOCG,Chianti Classico,Lamole Di Lamole,Toscana,4,50-54,Sangiovese 100%,Spezzatino di guancia in umido,Gran Selezione,89,,89,,na,Rosso fermo,14,1k,36 mesi in botti di varie dimensioni,"Profonda tonalità di rosso granato. Al naso esprime una varietà di profumi: amarena, menta, liquirizia, cannella, caffè, tè verde,  fiori secchi e un accenno di cuoio. In bocca  è potente e ha tannini decisi in evoluzione, di buona qualità, che si integreranno col tempo. Lo sviluppo è reso dinamico dalla spalla acida Chiude con essenze fruttate e balsamiche.",,na,na,na,na,na,Italia,2,,,
