Categoria-1,Ref,Tipologia,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002041,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2015,Maison Anselmet,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,14,3k,nd,18 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002041,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2016,Maison Anselmet,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,13.5,2k,nd,18 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002041,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2017,Maison Anselmet,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,13,2k,nd,18 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002041,Rosso Fermo,,,,,,3,86,nd,nd,3,86,2019,Maison Anselmet,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,13,2k,nd,18 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002041-1,Rosso Fermo,1.25,31,1.15,25,2.6,2★-3★,84.8,2★-3★,84.5,3★,86.0,,Maison Anselmet,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,13,2k-5k,Cinghiale in civet,18 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002036,Rosso Fermo,,,,,,3,87,3,87,nd,nd,2014,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,20-24,Fumin 100%,13,9k,Bocconcini di asino in civet,12 mesi in botte grande,"Rubino intenso e di fitta tessitura. Profuma di viola mammola appassita e di confettura di fragola, con nuance di erba medica, seguono accenni di cioccolatino alla menta, tabacco da sigaro e pepe bianco. Tannini maturi stuzzicano un palato dalla struttura ben proporzionata. Vinificazione e maturazione in botti di rovere da 20 ettolitri e parzialmente in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002036,Rosso Fermo,,,,,,4,89,4,89,nd,nd,2015,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,14,9k,Rollatina di capriolo al genepì,12 mesi in botte grande,"Rosso rubino vivace. Non finisce mai di stupire attraverso profumi di cioccolato fondente al peperoncino, pepe nero, ciliegie e more di rovo. l'assaggio risulta fresco ma pieno, costruito  su note sapide e fruttate in cui la parte tannica rimane meno in evidenza. Interessanti ritorni di viole essiccate e fragole di bosco arricchiscono il bouquet. Mirabile persistenza. Sosta in botti di rovere da 20 ettolitri per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002036,Rosso Fermo,,,,,,3,88,3,88,nd,nd,2016,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,25-29,Fumin 100%,14,1k,nd,12 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,0002036,Rosso Fermo,,,,,,4,90,4,90,nd,nd,2017,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,30-34,Fumin 100%,13.5,2k,Lepre in dolceforte,12 mesi in botte grande,"Rosso porpora quasi impenetrabile. Esprime inizialmente sentori floreali e di piccoli frutti rossi; in seguito, mora e gelso si inseriscono su una trama olfattiva sorretta da note balsamiche, cui fanno eco cioccolato, cannella e altre spezie. Il sorso è fresco e appagante, ben sostenuto da tannini ancora irruenti ma di qualità. Lungo epilogo. Leggero appassimento in cassette, poi soggiorna in botti di rovere per un anno. ",,na,na,na,na,na,Italia,2,,,
,0002036,Rosso Fermo,,,,,,4,89,4,90,3,88,2018,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,20-24,Fumin 100%,13,10k,Capretto alla cacciatora,12 mesi in botte grande,"Splendido color porpora, intenso e luminoso. Esordisce con sentori di piccoli frutti rossi e prosegue con cannella e chiodi di garofano.  In chiusura una vena ferruginosa e pepata di grande interesse, Struttura gustativa generosa, dalla trama tannica di carattere. La lunga  scia sapida trasporta il finale su intensi aromi fruttati e di liquirizia. Leggero appassimento in cassette e sosta in botte grande per un anno. ",,na,na,na,na,na,Italia,2,,,
,0002036,Rosso Fermo,,,,,,3,88,nd,nd,3,88,2019,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,20-24,Fumin 100%,13,10k,,12 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,0002036-1,Rosso Fermo,4.02,100,4.55,100,3.5,3★-4★,88.5,3★-4★,88.8,3★,88.0,,Ottin,Valle D'Aosta Fumin,Valle D'Aosta Fumin,,DOC,Valle D'Aosta,20-24,Fumin 100%,13,1k-10k,Bocconcini di asino in civet – Rollatina di capriolo al genepì – Lepre in dolceforte – Capretto alla cacciatora,12 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002125,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2019,Di Barrò,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,1k,Stinco di maiale al forno,11 mesi in acciaio,"Lampi purpurei illuminano il rosso rubino. Sontuoso ventaglio ol-fattivo: fragola, lampone, gelso nero e mora di rovo. Epilogo ele-gante con aliti mentolati e sottili sbuffi di chiodi di garofano. Labeva, raffinata e fresca, è ritmata dal ritorno del frutto e da tanni-ni cesellati. ",,na,na,na,na,na,Italia,2,,,
,0002125-1,Rosso Fermo,0.34,33,2.75,33,3.0,3★,nd,3★,nd,nd,nd,,Di Barrò,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,1k,Stinco di maiale al forno,11 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002128,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2015,Didier Gerbelle,Valle D'Aosta Petit Rouge Vigne Plan,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,15-19,Petit Rouge 100%,13.5,2k,nd,12 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,0002128,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2016,Didier Gerbelle,Valle D'Aosta Petit Rouge Vigne Plan,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,15-19,Petit Rouge 100%,13.5,3k,Tagliata di manzo,12 mesi in botte grande,"Rosso rubino fitto. Apre con sentori di ciliegia, arancia sanguinella e rose rosse. La comparsa del sottobosco lascia poi il passo a spezie dolci, cioccolato e liquirizia, e conclude su  una vena di rabarbaro L'assaggio è equilibrato, profondo, condito da tannini morbidi, in cui prevale la succosità dell'arancia. Matura per 12 mesi in botte grande. ",,na,na,na,na,na,Italia,2,,,
,0002128,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2018,Didier Gerbelle,Valle D'Aosta Petit Rouge Vigne Plan,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,14.5,2k,nd,12 mesi in botte grande,,,na,na,na,na,na,Italia,2,,,
,0002128-1,Rosso Fermo,0.79,77,6.43,77,2.7,2★-3★,nd,2★-3★,nd,nd,nd,,Didier Gerbelle,Valle D'Aosta Petit Rouge Vigne Plan,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,14.5,2k-3k,Tagliata di manzo,12 mesi in botte grande,,,na,na,na,na,na,Italia,1,,,
,0002124,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2019,Diego Curtaz,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,2k,Coniglio alla cacciatora ,7 mesi in acciaio,"Un vivido scenario rosso cremisi. Giovanile all’olfatto, con evi-denze di frutti di bosco e fiorellini di campo, erba tagliata e ac-cenni di sottobosco. Al palato è materico e duraturo, con lievi ri-torni speziati di pepe. Tannini piacevoli e aggraziati. ",,na,na,na,na,na,Italia,2,,,
,0002124-1,Rosso Fermo,0.34,33,2.75,33,3.0,3★,nd,3★,nd,nd,nd,,Diego Curtaz,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,2k,Coniglio alla cacciatora ,7 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002126,Rosso Fermo,,,,,,1,79,1,79,nd,nd,2015,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,6k,nd,9 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002126,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2016,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,7k,nd,9 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002126,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2017,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,5k,nd,9 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002126,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2018,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,5k,Quiche lorraine,9 mesi in acciaio,"Rosso rubino. Bouquet intenso caratterizzato da sentori di prugna, pot-pourri, fieno e frutta secca; noce moscata, uva spina e china in chiusura. Equilibrato al sorso, sorretto da freschezza e tannini ben integrati; nel finale si allunga verso echi tostati. Maturazione in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0002126,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2019,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,4k,nd,9 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002126,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2020,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,14,5k,nd,9 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002126-1,Rosso Fermo,1.03,100,8.33,100,2.2,1★-3★,nd,1★-3★,nd,nd,nd,,Institut Agricole Regional,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,14,4k-7k,Quiche lorraine,9 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0002127,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2017,Le Grain,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,1k,Assiette valdotaine,7 mesi in acciaio,"Rosso rubino lucente con qualche riflesso granato. Ventaglio olfattivo di ciliegia e visciole, more e prugne; seguono poi sentori più  delicati di muschio, spezie e pepe nero. Bocca fresca, tannini giovani ma già piacevolmente espressivi in un finale di sensazioni fruttate. In vasche di acciaio per 7 mesi ",,na,na,na,na,na,Italia,2,,,
,0002127,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2018,Le Grain,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13.5,1k,Tagliatelle con sugo di capriolo,7 mesi in acciaio,"Rosso rubino con striature porpora. Impronta olfattiva fruttata:nitidi riconoscimenti di fragola s'intrecciano alla ciliegia e aipiccoli frutti di bosco, poi subentrano geranio, rosa selvaticae una bella speziatura. Di buona struttura, morbido e rinfre-scante, sfocia in un finale finemente fruttato.",,na,na,na,na,na,Italia,2,,,
,0002127,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2019,Le Grain,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,1k,nd,7 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0002127-1,Rosso Fermo,0.79,77,6.43,77,2.7,2★-3★,nd,2★-3★,nd,nd,nd,,Le Grain,Valle D'Aosta Petit Rouge,Valle D'Aosta Petit Rouge,,DOC,Valle D'Aosta,10-14,Petit Rouge 100%,13,1k,Assiette valdotaine – Tagliatelle con sugo di capriolo,7 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0001987,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2018,Andre Pellissier,Valle D'Aosta Pinot Noir Elevation,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,30-34,Pinot nero 100%,13.5,1k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001987,Rosso Fermo,,,,,,2,84,3,86,2,82,2019,Andre Pellissier,Valle D'Aosta Pinot Noir Elevation,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,30-34,Pinot nero 100%,13.5,1k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,2,,,
,0001987-1,Rosso Fermo,0.45,8,0.24,5,2.5,2★-3★,85.0,3★,86.0,2★,82.0,,Andre Pellissier,Valle D'Aosta Pinot Noir Elevation,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,30-34,Pinot nero 100%,13.5,1k,nd,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0001991,Rosso Fermo,,,,,,2,82,2,82,nd,nd,2016,Anna De Santis,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,25-29,Pinot nero 100%,13.5,1k,Coq au vin,18 mesi in barrique,"Rosso rubino intenso e vivace. Regala sentori di marasca, china, cuoio, fiori rossi, spezie dolci, cioccolato e ricordi d'incenso. Sapido e piacevolmente tannico, chiude in bocca con una nota di marasca. Riposa in barrique per 18 mesi ",,na,na,na,na,na,Italia,2,,,
,0001991-1,Rosso Fermo,0.12,2,0.07,2,2.0,2★,nd,2★,nd,nd,nd,,Anna De Santis,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,25-29,Pinot nero 100%,13.5,1k,Coq au vin,18 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0001976,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2015,Cave Gargantua,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,1k,Carne messata con mele renette e fontina,-,"Rubino chiaro di avvincente luminosità. Sensazioni olfattive delicate di rosa canina, succo di mirtillo e fragoline di bosco, seguite da accenni lievemente speziati di pepe nero  e di erba appena tagliata. Sorso morbido con decise note fresco-sapide, accenni di frutta, ricordi vegetali e tannino sottile. Fermentazione in acciaio e maturazione in barrique per 6 mesi ",,na,na,na,na,na,Italia,2,,,
,0001976,Rosso Fermo,,,,,,3,85,2,84,3,86,2016,Cave Gargantua,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001976,Rosso Fermo,,,,,,2,82,nd,nd,2,82,2019,Cave Gargantua,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,2k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001976-1,Rosso Fermo,0.57,10,0.56,12,2.3,2★-3★,83.7,2★,84.0,2★-3★,84.0,,Cave Gargantua,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,1k-2k,Carne messata con mele renette e fontina,-,,,na,na,na,na,na,Italia,1,,,
,0002259,Rosso Fermo,,,,,,4,89,4,89,nd,nd,2017,Cave Gargantua,Valle D'Aosta Pinot Noir Pierre,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,25-29,Pinot nero 100%,13.5,5k,Filetto ai frutti di bosco,12 mesi in barrique,"Rubino luminoso. Profuma di frutti di bosco  e spezie dolci, seguiti da fiori rossi, tabacco, sentori fumé e ricordi di grafite. Il sorso è fresco e dominato da una verve sapida che rinnova a ogni sorso il piacere della beva,; l'alcol è integrato e il tannino di raro pregio. Sosta in barrique per 12 mesi. ",,na,na,na,na,na,Italia,2,,,
,0002259,Rosso Fermo,,,,,,3,88,nd,nd,3,88,2018,Cave Gargantua,Valle D'Aosta Pinot Noir Pierre,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,25-29,Pinot nero 100%,13.5,5k,,12 mesi in barrique,,,na,na,na,na,na,Italia,2,,,
,0002259-1,Rosso Fermo,1.34,22,0.83,18,3.5,3★-4★,88.5,4★,89.0,3★,88.0,,Cave Gargantua,Valle D'Aosta Pinot Noir Pierre,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,25-29,Pinot nero 100%,13.5,5k,Filetto ai frutti di bosco,12 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0001992,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2016,Clos Blanc,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13.5,2k,Guancia di vitello brasata,12 mesi in acciaio,"Rosso rubino. Emana intense nuance di fragoline, frutti e fiori rossi essiccati, che aleggiano su un variegato bouquet di cuoio, tabacco da pipa, spezie dolci e resina. Al palato apre garbatamente fresco e sapido. Di buon equilibrio, chiude con un gradevole ritorno di fragoline di bosco. Un anno in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0001992-1,Rosso Fermo,0.34,6,0.47,10,3.0,3★,nd,3★,nd,nd,nd,,Clos Blanc,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13.5,2k,Guancia di vitello brasata,12 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0001977,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2014,Crotta Di Prado,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,5-9,Pinot nero 100%,13,2k,Capretto al forno,6 mesi in acciaio,"Rubino tenue. Buona l'intensità olfattiva con ciliegia matura, mora di gelso, còté speziato  di pepe nero e noce moscata, con accenni di erbe di montagna e di rosa canina nel finale. Bocca morbida e vellutata, appena scalfita da un tannino di composta matrice. Matura in acciaio per 6 mesi e affina per lo stesso periodo in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0001977,Rosso Fermo,,,,,,3,85,3,85,nd,nd,2015,Crotta Di Prado,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13,2k,Cotoletta alla valdostana,6 mesi in acciaio,"Rosso rubino tenue. Al naso primeggiano  i sentori di mora di gelso, a cui seguono sensazioni speziate di cannella, macis e un accenno sfumato di cuoio. Bocca dominata da vivace freschezza, ben equilibrata da ricordi di frutta rossa e dal pepe bianco che ne esalta la sapidità. Tannino elegante e polposo. Matura per 6 mesi in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0001977,Rosso Fermo,,,,,,1,79,1,79,nd,nd,2018,Crotta Di Prado,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13.5,3k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0001977,Rosso Fermo,,,,,,2,81,2,81,nd,nd,2019,Crotta Di Prado,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,14,3k,nd,6 mesi in acciaio,,,na,na,na,na,na,Italia,2,,,
,0001977-1,Rosso Fermo,0.57,10,0.80,18,2.0,1★-3★,nd,1★-3★,nd,nd,nd,,Crotta Di Prado,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,14,2k-3k,Capretto al forno – Cotoletta alla valdostana,6 mesi in acciaio,,,na,na,na,na,na,Italia,1,,,
,0001982,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2018,Grosejan Vins,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13,13k,Carpaccio di carne salata con olio di noci,-,"Rosso rubino con luminose trasparenze. Incipit floreale, con rosa, viola e geranio, seguito da slanci di piccoli frutti di bosco, tè verde e una sensazione agrumata. Sorso equilibrato, dalla trama tannica viva e delicata, sostenuta da piacevole freschezza e sapidità; lungo finale fruttato. Fermenta per metà in legno e per metà in acciaio. ",,na,na,na,na,na,Italia,2,,,
,0001982-1,Rosso Fermo,0.34,6,0.47,10,3.0,3★,nd,3★,nd,nd,nd,,Grosejan Vins,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13,13k,Carpaccio di carne salata con olio di noci,-,,,na,na,na,na,na,Italia,1,,,
,0001981,Rosso Fermo,,,,,,2,84,2,84,nd,nd,2016,Grosejan Vins,Valle D'Aosta Pinot Noir Vigne Tzeriat,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,5k,Tagliata di pezzata nera valdostana,18 mesi in tonneau,"Rosso rubino. Espande subito profumi di ciliegia e prugna, inoltrandosi verso profonde sfumature di sottobosco, terra e muschio, accompagnati da un velo di pepe e noce moscata. In bocca mostra un tannino gentile, dotato di buona permanenza gustativa. Per 18 mesi in tonneau di rovere francese. ",,na,na,na,na,na,Italia,2,,,
,0001981,Rosso Fermo,,,,,,3,86,3,86,3,86,2018,Grosejan Vins,Valle D'Aosta Pinot Noir Vigne Tzeriat,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13.5,7k,nd,18 mesi in tonneau,,,na,na,na,na,na,Italia,2,,,
,0001981,Rosso Fermo,,,,,,3,87,3,86,3,88,2019,Grosejan Vins,Valle D'Aosta Pinot Noir Vigne Tzeriat,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,7k,nd,18 mesi in tonneau,,,na,na,na,na,na,Italia,2,,,
,0001981-1,Rosso Fermo,0.79,13,0.78,17,2.7,2★-3★,85.7,2★-3★,85.3,3★,87.0,,Grosejan Vins,Valle D'Aosta Pinot Noir Vigne Tzeriat,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,5k-7k,Tagliata di pezzata nera valdostana,18 mesi in tonneau,,,na,na,na,na,na,Italia,1,,,
,0001978,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2018,La Cantina Di Cuneaz,Valle D'Aosta Pinot Noir Grandgoiser,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13.5,2k,Pollo alla cacciatora,12 mesi in botte,"Rosso rubino luminoso, con riflessi che virano al granato. Al naso racconta di frutti rossi, ciliegie e prugne, per passare poi a un bouquet di fiori di campo e terminare con uno spunto lievemente erbaceo. Il sorso è caldo e morbido, dotato di tannini ben levigati. Palato equilibrato e di ottima permanenza. Riposa per 12 mesi in tonneau ",,na,na,na,na,na,Italia,2,,,
,0001978,Rosso Fermo,,,,,,3,86,3,86,nd,nd,2019,La Cantina Di Cuneaz,Valle D'Aosta Pinot Noir Grandgoiser,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13.5,2k,Costolette di vitello in terrina,12 mesi in botte,"Rosso rubino, fitto e con luci purpuree. Ricco bouquet di mora, ciliegia, albicocca e arancia, poi rosa rossa, humus e sottobo- sco. Impronta gustativa succosa e sapida che guida a una chiosa di lampone e fragolina. Tannini giovanili che garantiranno un'otti- ma evoluzione. ",,na,na,na,na,na,Italia,2,,,
,0001978-1,Rosso Fermo,0.68,11,0.66,15,3.0,3★,nd,3★,nd,nd,nd,,La Cantina Di Cuneaz,Valle D'Aosta Pinot Noir Grandgoiser,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13.5,2k-3k,Pollo alla cacciatora – Costolette di vitello in terrina,12 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0001983,Rosso Fermo,,,,,,2,82,2,82,nd,nd,2016,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13,10k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001983,Rosso Fermo,,,,,,2,82,2,82,nd,nd,2017,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13,5k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001983,Rosso Fermo,,,,,,2,82,2,82,nd,nd,2018,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,12.5,8k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001983,Rosso Fermo,,,,,,2,82,2,82,nd,nd,2019,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,10-14,Pinot nero 100%,13.5,10k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001983,Rosso Fermo,,,,,,2,82,2,82,2,82,2020,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13.5,10k,nd,-,,,na,na,na,na,na,Italia,2,,,
,0001983-1,Rosso Fermo,0.58,10,0.57,12,2.0,2★,82.0,2★,82.0,2★,82.0,,La Crotta Di Vegneron,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13.5,5k-10k,nd,-,,,na,na,na,na,na,Italia,1,,,
,0001984,Rosso Fermo,,,,,,3,87,3,87,nd,nd,2013,La Vrille,Valle D'Aosta Pinot Noir,Valle D'Aosta Pinot Noir,,DOC,Valle D'Aosta,15-19,Pinot nero 100%,13,1k,Agnolotti di cervo alla demi-glace,7 mesi in acciaio + 15 mesi in botte,"Rubino chiaro. Impianto olfattivo di buona intensità, con piccoli frutti rossi maturi in evidenza, poi emergono chiodi di garofano e noce moscata. Bocca morbida e appagante, appena scalfita da tannini docili ma ben espressi, richiama nel finale le sensazioni olfattive. Fermentazione in acciaio, maturazione per 15 mesi in tonneau e lungo affinamento in bottiglia. ",,na,na,na,na,na,Italia,2,,,
