Categoria-1,Ref,OLDVSCORE,VScore,RAWQP,QP,MediaGrezza,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Alcol,Prezzo,Tipologia,Composizione,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero
,0002064,,,,,,5,2015,Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,13k,Spezzatino di cervo con polenta,2 mesi di appassimento + 18 mesi in barrique,"Rosso granato. Al naso dipana una complessa matassa di piccoli frutti rossi, rosa, rododendro, tabacco biondo e liquirizia, incorniciata in un quadro speziato che ricorda la vaniglia e la noce moscata. Qualche segno dell'irrequietezza giovanile scalpita ancora all'assaggio, ma preannuncia una grande evoluzione nel tempo. Incede elegante e puntuale: di carezzevole struttura, conclude intrattenendosi a lungo. Appassimento delle uve in cassette per 2 mesi; matura per 18 mesi in barrique di rovere e affina per un anno in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002064,,,,,,4,2016,Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,10k,Tacchino allo spiedo,2 mesi di appassimento + 18 mesi in barrique,"Rosso granato dotato di trasparenza e lucentezza. Emergono sentori di frutti rossi anche in confettura, mora e mirtillo, a cui seguono accenni gradevoli di violetta e rododendro su uno sfondo di cenere e spezie orientali. Al palato il sorso è morbido e il tannino vivace allunga e potenzia la beva; prosegue gustosamente sapido per un finale teso e nervoso; di personalità indiscussa. Da attendere. Sosta per 18 mesi in barrique prima dell'affinamento in bottiglia ",,na,na,na,na,na,Italia,2,,,
,0002064,,,,,,5,2017,Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,13k,Cervo in umido con polenta,2 mesi di appassimento + 18 mesi in barrique,"Manto granato pieno e vivace. Lo scrigno dei profumi rivela subito sensazioni avvolgenti  e intense: lampone, ciliegia e frutti di bosco  in confettura, pepe nero, ginepro e chiodi di garofano. Ricordi di fieno ed erbe aromatiche incalzano sbuffi balsamici, menta e timo, su uno sfondo resinoso, con caffè, cioccolato  e radice di genziana. La potenza del frutto e l'eleganza nella scia sapida caratterizzano l'assaggio, rinvigorito da una sontuosa trama tannica. Equilibrato e poderoso nella struttura, si congeda con un lungo ed emozionante finale. Matura per 18 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,00002064-1,9.95,91,1.93,76,4.8,4★-5★,,Aldo Rainoldi,Sfursat Di Valtellina Ca Rizzieri,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,45-49,Rosso Fermo,Nebbiolo 100%,10k-21k,Stufato di manzo con polenta – Spezzatino di cervo con polenta – Tacchino allo spiedo – Cervo in umido con polenta,2 mesi di appassimento + 18 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002065,,,,,,5,2014,Mamete Prevostini,Sforzato Di Valtellina Corte Di Cama,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,8k,Cervo in salmì,8 mesi in barrique,"Color rubino vivo con accenni granato, consistente. Spiccano eleganti profumi di ribes rosso, mora di gelso, prugna e mirtillo, note floreali e sentori di china, rabarbaro e cioccolato. All'assaggio palesa corrispondenza gusto-olfattiva, il tannino è presente ma elegante e già rotondo, la spina sapida crea equilibrio con la decisa freschezza. Ottima persistenza. Appassimento delle uve in cassette. Vinificato in acciaio, sosta in barrique | di rovere francese per 8 mesi ",,na,na,na,na,na,Italia,2,,,
,0002065,,,,,,5,2015,Mamete Prevostini,Sforzato Di Valtellina Corte Di Cama,Sforzato Di Valtellina,,DOCG,Lombardia,92,,92,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,13k,Spezzatino di capriolo con patate e rosmarino,18 mesi in barrique,"Rosso granato chiaro e trasparente. In un sontuoso dispiegarsi di mora di rovo, ribes nero, confettura di mirtilli e amarena candita si coglie un'esile scia floreale di viola e rododendro; dominano poi bacche di ginepro, chiodi di garofano, carruba, cioccolato e anice stellato. In bocca è impetuoso, ma assecondato da tannini già duttili e setosi, nonostante la prorompente gioventù. Interminabile il finale di erbe aromatiche, con nuance balsamiche e mentolate. Matura per 18 mesi in barrique, quindi affina per altri 10 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002065,,,,,,5,2016,Mamete Prevostini,Sforzato Di Valtellina Corte Di Cama,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,16,30-34,Rosso Fermo,Nebbiolo 100%,13k,Cavatelli con ragù di cinghiale,18 mesi in barrique,"Trasparenze luminose tipiche del vitigno, su tonalità rosso rubino che vira al granato. Bouquet olfattivo complesso, con ricordi che rimandano a ciliegie sotto spirito e prugne disidratate, caffè, polvere di cacao e leggeri soffi minerali; molto fine la trama speziata, legata a pepe rosa, coriandolo e cannella; chiusura balsamica e mentolata tra sentori di sottobosco. Sorso vivo, di buona forza espressiva, dove humus e felce sono protagonisti; assaggio ricco, dai tannini integrati; saporito, vivo, di grande spessore. Appassimento delle uve fino ai primi di dicembre; riposa per 18 mesi in barrique. ",,na,na,na,na,na,Italia,2,,,
,00002065-1,8.95,82,2.55,100,5.0,5★,,Mamete Prevostini,Sforzato Di Valtellina Corte Di Cama,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,16,30-34,Rosso Fermo,Nebbiolo 100%,8k-13k,Cervo in salmì – Spezzatino di capriolo con patate e rosmarino – Cavatelli con ragù di cinghiale,8-18 mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002066,,,,,,3,2010,Bettini,Sforzato Di Valtellina Fruttaio Di Spina,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,14.5,25-29,Rosso Fermo,Nebbiolo 100%,11k,Polenta taragna funghi e cervo,3 mesi di appassimento + 18 mesi in botte,"Rosso rubino appena screziato da riflessi granato. All'olfatto offre dapprima sentori di frutti di bosco, poi pepe bianco e vaniglia, e ancora legni aromatici e nota balsamica. Il palato è possente, bilanciato in freschezza  e sapidità. Di gran corpo, da considerare in prospettiva. Le uve appassiscono 3 mesi sui graticci, seguono 18 mesi in botti di rovere da 25 ettolitri e ulteriori 6 in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002066,,,,,,3,2011,Bettini,Sforzato Di Valtellina Fruttaio Di Spina,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,12k,Tagliolini di segale con cavoletti di Fraciscio e casera,3 mesi di appassimento + 18 mesi in botte,"l Rubino intenso. Regala all'olfatto sentori di confettura di prugne, more, pepe rosa e anice stellato, erbe di montagna. Il palato è caldo, strutturato, ben bilanciato da freschezza e tannino domato. Ancora giovane, saprà rivelarsi nel futuro. Appassimento su graticci, sosta per 18 mesi in botti di rovere da 25 ettolitri e per ulteriori 6 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002066,,,,,,3,2015,Bettini,Sforzato Di Valtellina Fruttaio Di Spina,Sforzato Di Valtellina,,DOCG,Lombardia,86,,86,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,12k,Manzo all'olio di rovato con polenta,3 mesi di appassimento + 18 mesi in botte,"Rubino vivace dai riflessi granato, dall'ottima consistenza. Sentori di viola e rosa, arancia, lampone, mirtillo e ribes, felce, sottobosco  e bacche di ginepro compongono l'olfatto. All'assaggio colpisce per la poderosa struttura, ben bilanciata dall'equilibrio che dona grande bevibilità; lunga persistenza su tracce di fragoline di bosco. Di grande espressività già nella giovinezza, saprà esprimersi appieno tra qualche anno. Dopo l'appassimento naturale su graticci per 3 mesi, matura per 18 mesi in botti grandi di rovere. ",,na,na,na,na,na,Italia,2,,,
,00002066-1,1.02,9,0.29,11,3.0,3★,,Bettini,Sforzato Di Valtellina Fruttaio Di Spina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15,30-34,Rosso Fermo,Nebbiolo 100%,11k-12k,Polenta taragna funghi e cervo – Tagliolini di segale con cavoletti di Fraciscio e casera – Manzo all'olio di rovato con polenta,3 mesi di appassimento + 18 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002067,,,,,,5,2013,Fay,Sforzato Di Valtellina Ronco Del Picchio,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15,35-39,Rosso Fermo,Nebbiolo 100%,10k,Stufato di capriolo,3 mesi di appassimento + 12 mesi in botte,"Un limpido rosso granato di buona consistenza annuncia rimandi fruttati di ribes, mirtillo, arancia sanguinella, tamarindo, mallo di noce, con un finale iodato e boisé. L'approccio al palato è dominato dalla morbidezza, il sorso rivela anche decise freschezza e sapidità e un fondamentale equilibrio tra le componenti gustative; di infinita persistenza, con finale di composta di frutti rossi, cioccolato e tabacco. Matura in barrique di rovere per un anno e affina per altri 15 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002067,,,,,,4,2014,Fay,Sforzato Di Valtellina Ronco Del Picchio,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,15,40-44,Rosso Fermo,Nebbiolo 100%,7k,Pizzoccheri alla valtellinese,3 mesi di appassimento + 12 mesi in botte,"Rubino con cenni granato. Rivela presenze  di marasca, susina e mora di rovo, incenso, rose essiccate, spezie orientali; seguono riconoscimenti di caffè verde, vernice e smalto, mirto, rabarbaro e gelso. La potenza dell'assaggio non pregiudica la beva, elegante, morbida, squisitamente sapida e dal tannino ben levigato; una spiccata persistenza indugia su aromi speziati. Vigna a oltre 700 metri di altitudine. Appassimento delle uve in cassette per 75 giorni e riposo per un anno in botti di rovere. ",,na,na,na,na,na,Italia,2,,,
,0002067,,,,,,4,2016,Fay,Sforzato Di Valtellina Ronco Del Picchio,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15.5,45-49,Rosso Fermo,Nebbiolo 100%,9k,Lepre in salmì,3 mesi di appassimento + 18 mesi in botte,"Granato limpido e trasparente. Ventaglio olfattivo dai sentori di ciliegia sotto spirito  e amarena, viola e petali di rosa, chiodi di garofano e pepe nero, con cenni di liquirizia, tabacco e caffè. L'impatto in bocca è imponente: alcol e morbidezza sono ben equilibrati da freschezza, sapidità e da un tannino vigoroso ma di classe; poderosa struttura e gustoso il finale di frutta sotto spirito. Raccolta in cassette a inizio ottobre, 80 giorni di appassimento fino al 22 dicembre, poi 2 anni di maturazione in botti da 25 ettolitri ",,na,na,na,na,na,Italia,2,,,
,00002067-1,4.98,46,0.97,38,4.3,4★-5★,,Fay,Sforzato Di Valtellina Ronco Del Picchio,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,45-49,Rosso Fermo,Nebbiolo 100%,7k-10k,Stufato di capriolo – Pizzoccheri alla valtellinese – Lepre in salmì,3 mesi di appassimento + 12-18 mesi in botte,,,na,na,na,na,na,Italia,1,,,
,0002068,,,,,,3,2013,Alberto Marsetti,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,87,,87,,na,16,30-34,Rosso Fermo,Nebbiolo 100%,3k,Cinghiale in dolceforte,3 mesi di appassimento + 24  mesi in barrique,"Rosso granato intenso e luminoso. Naso aristocratico di rosa canina e ciclamino, accarezzato da lievi accenni di ribes nero, confettura di prugna e bacche di ginepro; chiusura balsamica di eucalipto. Tannini ben espressi, gradevolmente fusi con un'esuberante dotazione calorica, danno equilibrio a un palato di lunga persistenza. Appassimento delle uve per 3 mesi sui graticci. Maturazione per 2 anni in barrique. ",,na,na,na,na,na,Italia,2,,,
,0002068,,,,,,4,2014,Alberto Marsetti,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,89,,89,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Faraona arrosto alle erbe aromatiche,3 mesi di appassimento + 24  mesi in barrique,"Tenue rosso granato, luminoso e consistente | profumi di arancia sanguinella, mirtillo rosso e confettura di lampone introducono un caleidoscopio di grande finezza, che si allarga da una delicata speziatura di cannella e pepe bianco a bacche di ginepro, alloro e aghi di pino, rabarbaro e legno di cedro, con ricordi di tostature dolci e un accenno terziario iodato. Grande intensità al sorso, che nella struttura robusta e generosa di alcolicità riunisce in armonia il vigore di tutte le sue parti costitutive; chiude asciutto, regalando una persistenza lunga sulla scia di rabarbaro e agrume rosso. Appassimento sui graticci per 3 mesi, poi fermenta in botte grande, quindi riposa in barrique per 2 anni ",,na,na,na,na,na,Italia,2,,,
,00002068-1,1.34,12,0.38,15,3.5,3★-4★,,Alberto Marsetti,Sforzato Di Valtellina,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,30-34,Rosso Fermo,Nebbiolo 100%,3k,Cinghiale in dolceforte – Faraona arrosto alle erbe aromatiche,3 mesi di appassimento + 24  mesi in barrique,,,na,na,na,na,na,Italia,1,,,
,0002069,,,,,,4,2012,Assoviuno,Sforzato Di Valtellina San Bello,Sforzato Di Valtellina,,DOCG,Lombardia,90,,90,,na,14,35-39,Rosso Fermo,Nebbiolo 100%,1k,Sella di capriolo arrosto ai mirtilli,3 mesi di appassimento + 30  mesi in barrique,"Ammaliante rosso rubino dai riflessi aranciati Sprigiona sentori eterei di frutti rossi sotto spirito, note floreali di pot-pourri, spezie dolci, cannella e noce moscata, legni pregiati e corteccia. Equilibrato e di grande struttura il sorso. Il tannino è cesellato. Lunga e appagante persistenza e precisa corrispondenza gusto-olfattiva. Appassimento naturale sui graticci a 600 metri, matura per 30 mesi in botti di rovere da 10 ettolitri e affina altri 6 mesi in bottiglia. ",,na,na,na,na,na,Italia,2,,,
,0002069,,,,,,5,2015,Assoviuno,Sforzato Di Valtellina San Bello,Sforzato Di Valtellina,,DOCG,Lombardia,91,,91,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,1k,Stufato di daino al ginepro,3 mesi di appassimento + 24  mesi in barrique,"Manto rosso granato, dai riflessi aranciati L'avvio olfattivo è ricco e generoso nei riconoscimenti di prugna, rosa, erbe officinali anice stellato, timo, genepì, pepe rosa. All'assaggio è avvolgente, dotato di imponente dotazione calorica, ben contrastata da una trama tannica levigata e dalla sapidità; intensa e articolata la progressione, con un epilogo di lunga durata. Appassimento naturale delle uve in cassette a 600 metri di quota. Maturazione per 24 mesi in botte piccola. ",,na,na,na,na,na,Italia,2,,,
,00002069-1,3.98,36,0.87,34,4.5,4★-5★,,Assoviuno,Sforzato Di Valtellina San Bello,Sforzato Di Valtellina,,DOCG,Lombardia,na,,na,,na,15.5,40-44,Rosso Fermo,Nebbiolo 100%,1k,Sella di capriolo arrosto ai mirtilli – Stufato di daino al ginepro,3 mesi di appassimento + 24-30  mesi in barrique,,,na,na,na,na,na,Italia,1,,,
