Categoria-1,Ref,Valutazione,Anno,Produttore,Nome,Denominazione,Menzioni,Classificazione,Regione,Prezzo,PunteggioMedio,PunteggioAIS,Tipologia,Composizione,Alcol,Bottiglie,Abbinamento,Affinamento,Descrizione,Note,PunteggioGamberoRosso,PunteggioGuida3,PunteggioGuida4,PunteggioGuida5,PunteggioGuida6,PunteggioGuida7,Nazione,Entry,Millesimo,Tecnica,Zucchero,,,,,,,,,,,,,,,,
,0000436,3,2015,Tenuta Di Lilliano,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,86,86,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Stracotto di manzo al Chianti,15 mesi in tonneau e botte grande + 12 mesi in bottiglia,"Impenetrabile rosso rubino. Al naso evidenze speziate e balsamiche accompagnano mora e mirtillo in gelatina. Sviluppa poi riconoscimenti di cioccolato, vaniglia, cannella ed erbe alpine. AI palato è caldo e avvolgente, di notevole struttura tannica, prodigo nell'intensità",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000436,4,2016,Tenuta Di Lilliano,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,89,89,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Bistecca alla fiorentina,15 mesi in tonneau e botte grande + 12 mesi in bottiglia,"Rosso rubino intenso con luminosa sfumatura granato. Preciso al naso nell'evocare ciliegia  e lampone, su uno sfondo di fresche essenze mentolate, per poi liberare tabacco, liquirizia e noce moscata. Ha una progressione ritmata, condotta dai tannini con l'ausilio della sapidità e di una freschezza adeguata a bilanciare la dote calorica. Molto persistente. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000436,4,2017,Tenuta Di Lilliano,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,89,89,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Filetto di maiale con salsa alle mele,15 mesi in tonneau e botte grande + 12 mesi in bottiglia,"Granato vivace. Scorrono ricordi di ciliegie sotto spirito, confettura di frutti rossi, vaniglia, cannella e semi di coriandolo, cui fanno seguito sentori di carruba, sottobosco e caffè. Il gusto testimonia una maturità quasi raggiunta, con tannini levigati e ornati da sensazioni di scorza d'arancia candita e nepitella. Il finale è sapido, con apprezzabile persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000436,4,2018,Tenuta Di Lilliano,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,89,89,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Maccheroni al ragù di anatra,15 mesi in tonneau e botte grande + 12 mesi in bottiglia,"Rubino acceso. Esprime sentori di ciliegia ferrovia, arancia san guinella e violetta, seguono cenni di ardesia, cardamomo, chi notto e foglia di tabacco. In bocca incarna tutta la freschezza del sangiovese, che si combina con i tannini piccanti e conduce il gusto fino alla saporita chiusura.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000436-1,3★-5★,,Tenuta Di Lilliano,Chianti Classico Gran Selezione,Chianti Classico,Gran Selezione,DOCG,Toscana,30-34,na,na,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Costata di manzo alla brace – Bocconcini di maiale in umido – Stracotto di manzo al Chianti – Bistecca alla fiorentina – Filetto di maiale con salsa alle mele – Maccheroni al ragù di anatra,15 mesi in tonneau e botte grande + 6-12 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000437,3,2013,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14,5k,Agnello a scottadito,15 mesi in botte grande,"Rubino con bordo granato. Profilo olfattivo composto da sentori di frutti rossi parzialmente macerati, peonia, spezie dolci, resina e ricordi di rosmarino. Al gusto è ben composto, con trama tannica compatta e fruttata che fa da contraltare alla massa glicerica, mentre la spalla acida sorregge la beva fino alla chiusura duratura. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437,3,2014,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Faraona arrosto,15 mesi in botte grande,"Rubino luminoso con tendenza al granato. L'olfatto è compiuto e ricco di sfumature.  Il primo impatto esibisce frutta in gelatina, lampone e mora, che resta centrale nello sviluppo successivo di petali di rosa, cannella caramella di liquirizia e un tocco di menta. In bocca è disteso e sapido, ha tannini integrati gustosi e ricercata morbidezza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437,3,2015,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Carrè di maiale al forno,15 mesi in botte grande,"Luminosa e compatta veste rosso rubino. Ha un profilo odoroso compiuto ed espressivo, centrato su mora e amarena in confettura; seguono presenze di vaniglia, cioccolato, cardamomo e liquirizia. Assaggio di buona struttura e calore; i tannini ben amalgamati lasciano la morbidezza libera di esprimersi Epilogo persistente.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437,3,2016,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Stracotto di manzo,15 mesi in botte grande,"Fitta veste rosso rubino. Distinte e intense sensazioni di amarena si legano a ricordi floreali e balsamici, prima di esprimere tracce di liquirizia, chiodi di garofano e terra bagnata. Ha struttura generosa, determinata da tannini fitti che si oppongono alla spinta calorica Chiusura con erbe officinali. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437,3,2017,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k,Faraona tartufata,15 mesi in botte grande,"Rubino intenso e impenetrabile. Sprigiona riconoscimenti di susina rossa, mora di rovo e giaggiolo, con cioccolato alla nocciola, legno di sandalo, macis e bacche di goji disidratate. Al gusto si apprezza l'interazione fra i tannini e la spalla acida. Di buona persistenza aromatica, che porta tratti di corbezzolo e di viola",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437,3,2018,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,25-29,86,86,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,13k,nd,15 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000437-1,3★,,Tenuta Di Lilliano,Chianti Classico Riserva,Chianti Classico,Riserva,DOCG,Toscana,25-29,na,na,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,5k-13k,Agnello a scottadito – Faraona arrosto – Carrè di maiale al forno – Stracotto di manzo – Faraona tartufata,15 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000438,2,2014,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,83,83,Rosso fermo,Sangiovese 80% – Colorino 10% – Merlot 10%,14.5,70k,Maccheroni al ragù,12 mesi in acciaio,"Rubino vivace. Percezioni olfattive di marasca, iris e cannella. In bocca si avvertono tannini energici, un po' rugosi e ancora in via di assestamento. Di media persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438,2,2015,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,83,83,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,120k,nd,14 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438,2,2016,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,115k,nd,14 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438,2,2017,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,115k,nd,14 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438,2,2018,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,115k,Frittata con gli zoccoli,14 mesi in botte grande,"Rosso rubino scuro e intenso. Manifesta riconoscimenti di sciroppo di mirtilli, fiori rossi macerati, caramella d'orzo e tabacco. L'assaggio è composto e lineare, equilibrato nelle componenti e con sottili risvolti amaricanti nella trama tannica. Di media persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438,2,2019,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,150k,nd,14 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000438-1,2★,,Tenuta Di Lilliano,Chianti Classico,Chianti Classico,,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 90% – Colorino 5% – Merlot 5%,14.5,70k-150k,Maccheroni al ragù – Frittata con gli zoccoli,12mesi in acciaio / 14 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000439,2,2013,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,15-19,83,83,Rosso fermo,Sangiovese 85% – Cabernet Sauvignon 15%,13.5,30k,nd,12 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439,3,2014,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 85% – Cabernet Sauvignon 15%,13.5,20k,nd,12 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439,2,2015,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,15-19,83,83,Rosso fermo,Sangiovese 85% – Cabernet Sauvignon 15%,13.5,26k,nd,12 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439,1,2016,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,15-19,79,79,Rosso fermo,Sangiovese 85% – Cabernet Sauvignon 15%,13.5,20k,nd,12 mesi in barrique,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439,3,2017,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 95% – Cabernet Sauvignon 5%,13.5,20k,Pappardelle sulla lepre,12 mesi in barrique,"Luminosa veste rubino. Olfatto preciso  con incipit di amarena e iris, cui fanno eco menta, vaniglia e polvere di cacao. L'ingresso al palato è mosso da un'impressione di freschezza. | tannini, centrali nello svolgimento, contribuiscono alla struttura, pur avendo un aspetto leggermente verde. La sapidità ravviva il lungo finale fruttato.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439,3,2018,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,20-24,88,88,Rosso fermo,Sangiovese 95% – Cabernet Sauvignon 5%,14,20k,Maccheroni sull'anatra muta,12 mesi in barrique,"Rubino con riflessi granato. Al naso è profondo: esordio autun nale di foglie, a cui subentrano mora, mirtillo, cuoio e un tocco pepato. In bocca colpisce per il brio fresco, insieme a tannini che emergono senza essere invadenti. Durevole persistenza agru mata.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000439-1,1★-3★,,Tenuta La Madonnina,Chianti Classico La Palaia,Chianti Classico,,DOCG,Toscana,20-24,na,na,Rosso fermo,Sangiovese 95% – Cabernet Sauvignon 5%,14,20k-30k,Pappardelle sulla lepre – Maccheroni sull'anatra muta,12 mesi in barrique,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000440,3,2013,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 100%,13.5,16k,Gran pezzo alla fiorentina con funghi misti,12 mesi in botte grande,"Rosso rubino. L'articolato ventaglio di profumi comprende fiori appassiti e gelatina di frutti  di bosco in prima battuta; si allarga con  erbe balsamiche, caramella alla liquirizia  e cioccolato al latte. Ha struttura tannica sostenuta, benché di natura vellutata; la sapidità contribuisce alla persistenza degli aromi tostati. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440,3,2014,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 100%,13.5,20k,Brasato al vino rosso,12 mesi in botte grande,"Vivida e luminosa tonalità di rosso rubino. Primeggia il frutto ancora fresco nel bouquet: amarena e mora. Si allarga poi con cannella, noce moscata, tabacco da pipa, un accenno di cuoio e di torrefazione. Al palato la componente aromatica supportata da sapidità e alcol crea avvolgenza e scorrevolezza, interrotta da tannini scontrosi, che devono ancora integrarsi completamente. Denota un potenziale evolutivo. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440,3,2015,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 100%,13.5,13k,Brasato di manzo al Chianti Classico,12 mesi in botte grande,"Tonalità profonda di rosso rubino. Bouquet dalle seducenti sfumature boisé, che accompagnano amarena sciroppata, vaniglia cioccolato, caffè e un tocco di erbe balsamiche. Assaggio potente: la densità dei tannini conferisce struttura e pienezza gustativa. Caldo e avvolgente, ha un epilogo speziato.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440,3,2016,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,86,86,Rosso fermo,Sangiovese 100%,14,20k,Arrosto di manzo con funghi porcini,12 mesi in botte grande,"Rubino compatto. Esibisce amarena e prugna in confettura, per poi circondarsi di cannella, vaniglia, rosa appassita e ricordi di torrefazione. Ha notevole volume di bocca; è caldo e morbido con tannini integrati e smussati. Lunga chiusura di ciliegia sotto spirito.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440,3,2017,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,86,86,Rosso fermo,Sangiovese 100%,14,20k,Pancia di vitello arrosto,12 mesi in botte grande,"Rubino tendente al granato. Profumi di mora  di rovo, visciola e mirtillo sono avvolti da un'ondata speziata di vaniglia e cannella, per poi abbandonarsi al ricordo di cacao e sigaro. Tannini compatti determinano una struttura solida, che sostiene il tenore alcolico con perfetto equilibrio. La conclusione fruttata è rinfrescata da un tocco di rosmarino. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440,2,2018,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,84,84,Rosso fermo,Sangiovese 100%,14,20k,nd,12 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000440-1,2★-3★,,Tenuta La Madonnina,Chianti Classico Gran Selezione La Madonnina,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,na,na,Rosso fermo,Sangiovese 100%,14,13k-20k,Gran pezzo alla fiorentina con funghi misti – Brasato al vino rosso – Brasato di manzo al Chianti Classico – Arrosto di manzo con funghi porcini – Pancia di vitello arrosto,12 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000441,2,2013,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,13.5,250k,nd,18 mesi in botte grande,"Rubino compatto. Speziato e fruttato, ricorda soprattutto cacao, cannella, amarena e mora, mentre accenni di timo e ruggine restano sullo sfondo. Il gusto mette in evidenza una vena fresca e sapida che accompagna i tannini, già integrati. Ha discreta struttura e lunghezza, su aromi di nocciola tostata.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441,3,2014,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,10-14,86,86,Rosso fermo,Sangiovese 100%,13.5,250k,Noce di vitello arrosto,18 mesi in botte grande,"Rosso rubino compatto. Il profumo è  coeso e si svela con prontezza, La ciliegia  è accompagnata dalla violetta, continua  con tabacco, cuoio, liquirizia e rosmarino. Ha tannini vigorosi al centro dello sviluppo gustativo, esaltati dall'acidità. Bel finale di ciliegia polposa. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441,4,2015,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,10-14,89,89,Rosso fermo,Sangiovese 100%,13.5,250k,Carrè di maiale al forno con patate al rosmarino,18 mesi in botte grande,"Rosso rubino trasparente con sfumatura granato. Si apre al naso con profonda sensazione floreale di viola e rosa appassite, dietro alla quale emergono sciroppo di lampone, scorza d’arancia, cannella e liquirizia Al palato i tannini setosi arricchiscono il volume del sorso e si fondono lungo la progressione, col contributo di una appagante sapidità",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441,2,2016,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,13.5,250k,Stufato al Chianti Classico,18 mesi in botte grande,"Veste rubino. Dopo un pot-pourri di fiori secchi emergono mora e marasca, sottobosco e accenni di tabacco e vaniglia. Ha struttura robusta, con tannini energici, che troveranno equilibrio dopo qualche anno di sosta in bottiglia. Discreta persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441,3,2017,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 100%,14,250k,Cosciotto d'agnello alla menta,18 mesi in botte grande,"Rubino compatto. Ricordi di ciliegia in confettura e prugna cotta integrano le sensazioni di fogliame secco, cannella, chiodi di garofano e un tocco di cuoio. È pieno, morbido e voluttuoso al palato: i tannini si fondono nello sviluppo gustativo, lasciando appena un'idea di ruvidità in chiusura. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441,2,2018,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,15-19,84,84,Rosso fermo,Sangiovese 95% – Colorino 5%,14,20k,nd,18 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000441-1,2★-4★,,Tenuta La Madonnina,Chianti Classico Riserva La Madonnina,Chianti Classico,Riserva,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 95% – Colorino 5%,14,20k-250k,Noce di vitello arrosto – Carrè di maiale al forno con patate al rosmarino – Stufato al Chianti Classico – Cosciotto d'agnello alla menta,18 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000442,2,2014,Tenuta La Madonnina,Chianti Classico Bello Stento,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,13.5,200k,nd,?,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000442,3,2015,Tenuta La Madonnina,Chianti Classico Bello Stento,Chianti Classico,,DOCG,Toscana,10-14,86,86,Rosso fermo,Sangiovese 100%,13.5,250k,nd,?,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000442,2,2016,Tenuta La Madonnina,Chianti Classico Bello Stento,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,13,200k,nd,?,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000442,2,2018,Tenuta La Madonnina,Chianti Classico Bello Stento,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,13.5,100k,nd,?,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000442-1,2★-3★,,Tenuta La Madonnina,Chianti Classico Bello Stento,Chianti Classico,,DOCG,Toscana,10-14,na,na,Rosso fermo,Sangiovese 100%,13.5,100k-250k,nd,?,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000443,2,2011,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,84,84,Rosso fermo,Sangiovese 100%,13.5,13k,nd,16 mesi in botte + 16 mesi in bottiglia,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443,3,2013,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,85,85,Rosso fermo,Sangiovese 100%,14.5,14k,Anatra bardata,16 mesi in botte + 16 mesi in bottiglia,"Rubino di buona trasparenza e vivacità. Impatto olfattivo di sottobosco misto a richiami boisé, quindi amarena e prugna in confettura, note balsamiche, eucalipto e menta, cacao, tabacco, liquirizia e vaniglia, cappero sotto sale. Ingresso saporito e dinamico, in cui la freschezza e la trama calorica ben si alternano nel persistente percorso gustativo. Il tannino è ancora scalpitante. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443,2,2014,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,84,84,Rosso fermo,Sangiovese 100%,13.5,15k,Pappardelle al ragù di lepre,16 mesi in botte + 16 mesi in bottiglia,"Rubino pieno. Si riconoscono mora e mirtillo  in confettura, ciliegia sotto spirito, pot-pourri  di fiori rossi, cuoio, eucalipto, torrefazione e tabacco biondo, noce, vaniglia, polvere di cacao e liquirizia. In bocca è fresco e dinamico, dal tannino esuberante. Buona la persistenza.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443,3,2015,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,20-24,87,87,Rosso fermo,Sangiovese 100%,14.5,15k,Tartare di manzo,16 mesi in botte + 16 mesi in bottiglia,"Rubino trasparente e vivo. Fragranze di prugna e mirtillo in confettura aprono la strada a pot-pourri, muschio, colatura d'acciughe, legno di sandalo, radice di liquirizia, cardamomo ed eucalipto. Al palato è vibrante di freschezza, dai richiami di arancia sanguinella; la rispondenza tannica è signorile e appropriata. Ottima la persistenza. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443,5,2016,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,91,91,Rosso fermo,Sangiovese 100%,14.5,10k,Agnello in tegame con patate e carciofi,16 mesi in botte + 16 mesi in bottiglia,"Invitante fin dalla vivida tonalità rosso rubino. Assetto olfattivo declinato inizialmente su amarena candita, marmellata d'arancia e  frutti di bosco, per poi evolvere su sentori di viola mammola, anice stellato, caffè in grani, cacao amaro, legno di cedro e leggeri rintocchi balsamici di pino mugo. All'assaggio, di ricca dotazione calorica, mostra uno straordinario equilibrio, grazie ai tannini ancora affilati e  alla ragguardevole freschezza, preludio a una scontata longevità. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443,5,2017,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,93,93,Rosso fermo,Sangiovese 100%,14,4k,Noce di capriolo con salsa al pepe,16 mesi in botte + 16 mesi in bottiglia,"Veste rubino. Bouquet espressivo di mora e marasca, sciroppo di ribes nero, peonia e tamarindo poi un profluvio di mirto, karka dè, muschio, caffè, sigaro toscano, legno di cedro, menta, cioc colato e pepe. Al sorso è impetuoso; il sapore del frutto, la fre schezza, la trama tannica e l’impronta calorica invadono i sensi.",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000443-1,2★-5★,,Tolaini,Chianti Classico Gran Selezione Vigna Montebello Sette,Chianti Classico,Gran Selezione,DOCG,Toscana,25-29,na,na,Rosso fermo,Sangiovese 100%,14,4k-15k,Anatra bardata – Pappardelle al ragù di lepre – Tartare di manzo – Agnello in tegame con patate e carciofi – Noce di capriolo con salsa al pepe,16 mesi in botte + 16 mesi in bottiglia,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
,0000444,3,2015,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,15-19,85,85,Rosso fermo,Sangiovese 100%,14,13k,nd,10 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000444,2,2016,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,10-14,84,84,Rosso fermo,Sangiovese 100%,14,20k,nd,10 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000444,3,2017,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,10-14,85,85,Rosso fermo,Sangiovese 100%,14,15k,nd,10 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000444,3,2018,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,15-19,86,86,Rosso fermo,Sangiovese 100%,14,25k,Crostini di fegato,10 mesi in botte grande,"Rubino luminoso. Riconoscimenti di mora, prugna, rosa e violetta si alternano a erbe aromatiche, macchia mediterranea, tamarindo, legni orientali e infine pepe. Al palato è reso scattante da una rigogliosa acidità, che si  allea con un tannino ancora acuminato, per equilibrare efficacemente la presenza alcolica Il finale è sapido e persistente di frutta. ",,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000444,3,2019,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,15-19,86,86,Rosso fermo,Sangiovese 100%,14,25k,nd,10 mesi in botte grande,,,na,na,na,na,na,na,Italia,2,,,,,,,,,,,,,,,,,,,
,0000444-1,2★-3★,,Tolaini,Chianti Classico Vallenuova,Chianti Classico,,DOCG,Toscana,15-19,na,na,Rosso fermo,Sangiovese 100%,14,13k-25k,Crostini di fegato,10 mesi in botte grande,,,na,na,na,na,na,na,Italia,1,,,,,,,,,,,,,,,,,,,
