Categoria-1,Ref,OLDRS,RS,RAWQP,QP,MediaGrezza,Anno,Menzioni,Nome,Classificazione,Denominazione,Produttore,Regione,Valutazione,Prezzo,Composizione,Abbinamento,PunteggioMedio,ValutazioneAIS,AIS,ValutazioneGR,GR,Tipologia,Alcol,Bottiglie,Affinamento,Descrizione,Note,Nazione,V,Q,Millesimo,Tecnica,Zucchero,Entry
,0001236,,,,,,2017,Gianetto,Barolo Gianetto,DOCG,Barolo,Guido Porro,Piemonte,3,30-34,Nebbiolo 100%,nd,88,,88,,na,Rosso fermo,14.5,6k,36 mesi in botte grande,,,Italia,,,,,,2
IN,0001236-1,4.67,26,0.82,31,3.3,,Gianetto,Barolo Gianetto,DOCG,Barolo,Guido Porro,Piemonte,3★-5★,30-34,Nebbiolo 100%,Capriolo in umido – Agnolotti alla piemontese,na,,na,,na,Rosso fermo,14.5,10k-12k,36 mesi in botte grande,,,Italia,,,,,,1
,0001235,,,,,,2012,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,3,25-29,Nebbiolo 100%,Gnocchi al ragù di carne,88,,88,,na,Rosso fermo,14.5,11k,36 mesi in botte grande,"Un Barolo austero che esprime mirabilmente le potenzialità di Serralunga e in particolare del vigneto Lazzarito. Nei profumi richiama note balsamiche di erbe officinali, speziature e tostature con ricordi di liquirizia, cacao e tabacco, fiori essiccati, fieno. La bocca è strutturata, segnata da una vigorosa parte tannica che il tempo addomesticherà. Molto lungo al sapore, si esprimerà al massimo negli anni a venire. In botte grande per 3 anni. ",,Italia,,,,,,2
,0001235,,,,,,2013,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,5,25-29,Nebbiolo 100%,Bocconcini di cinghiale e polenta,92,,92,,na,Rosso fermo,14,11k,36 mesi in botte grande,"Grande vigna, grande Barolo. Anche quest'anno un vino di alto profilo che ricorda all'olfatto le complessità di Serralunga. Opulenza fruttata di piccoli frutti, marasche e more; seguono intriganti note balsamiche di tabacco biondo, anice e cardamomo. Un crescendo olfattivo di freschezza in continua evoluzione. In bocca è superbo, gustoso, ricco di persistenza fruttata, tonificato da un tannino integro e solido, senza sbavature. Equilibrio definito, pronto per un lungo viaggio. Soggiorna per 36 mesi in botte grande ",,Italia,,,,,,2
,0001235,,,,,,2014,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,5,30-34,Nebbiolo 100%,Bocconcini di cinghiale al vino,92,,92,,na,Rosso fermo,14,11k,36 mesi in botte grande,"Granato in gran forma, di particolare luminosità. Naso austero ma molto articolato, che lascia ampio spazio all'espressività della zona, con ricche  e dense sensazioni fruttate: mora e ciliegia in confettura, circondate da una balsamica speziatura, liquirizia, zenzero, tabacco e anice. Sorso di grande intensità, di piena struttura; non tradisce le promesse, lasciando un lungo aroma delicatamente mentolato. Equilibrio dalle grandi aspettative. Matura per 36 mesi in botti grandi da 20 ettolitri ",,Italia,,,,,,2
,0001235,,,,,,2015,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,5,30-34,Nebbiolo 100%,Coniglio allo spiedo,93,,93,,na,Rosso fermo,14.5,12k,36 mesi in botte grande,"Granato trasparente con riflessi rubino Sfoggia un naso in cui il frutto si esprime su toni di amarene, more, mirtilli e sensazioni agrumate, seguiti da sentori balsamici di eucalipto e menta bianca, per chiudere con intriganti sfumature di pepe, chiodi di garofano e genziana. Il palato evidenzia una struttura lineare ma generosa, in perfetto equilibrio, con la freschezza a rendere il sorso scorrevole. Il tannino di buon carattere ne garantisce l'austerità. Per 36 mesi in botti da 20 ettolitri ",,Italia,,,,,,2
,0001235,,,,,,2016,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,5,30-34,Nebbiolo 100%,Coniglio allo spiedo,94,,94,,na,Rosso fermo,14.5,12k,36 mesi in botte grande,"Granato trasparente con riflessi rubino Sfoggia un naso in cui il frutto si esprime su toni di amarene, more, mirtilli e sensazioni agrumate, seguiti da sentori balsamici di eucalipto e menta bianca, per chiudere con intriganti sfumature di pepe, chiodi di garofano e genziana. Il palato evidenzia una struttura lineare ma generosa, in perfetto equilibrio, con la freschezza a rendere il sorso scorrevole. Il tannino di buon carattere ne garantisce l'austerità. Per 36 mesi in botti da 20 ettolitri ",,Italia,,,,,,2
,0001235,,,,,,2017,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,5,30-34,Nebbiolo 100%,Sottofiletto in crosta,93,,93,,na,Rosso fermo,14.5,10k,36 mesi in botte grande,"Granato luminoso e preciso, piglio olfattivo decisamente comples- so e articolato su frutta matura, erbe alpine e spezie. In evidenza confettura di marasca e more, ciliegie in composta con cannella e chiodi di garofano. Bocca solida e piacevole dotata di tannini mor- bidi e rassicuranti. Lunga persistenza. ",,Italia,,,,,,2
IN,0001235-1,15.25,85,2.66,100,4.7,,,Barolo Vigna Lazzairasco,DOCG,Barolo,Guido Porro,Piemonte,3★-5★,30-34,Nebbiolo 100%,Gnocchi al ragù di carne – Bocconcini di cinghiale e polenta – Bocconcini di cinghiale al vino – Coniglio allo spiedo – Coniglio allo spiedo – Sottofiletto in crosta,na,,na,,na,Rosso fermo,14.5,10k-12k,36 mesi in botte grande,,,Italia,,,,,,1
,0001237,,,,,,2012,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,3,25-29,Nebbiolo 100%,Cannelloni alla fonduta,86,,86,,na,Rosso fermo,14.5,4k,36 mesi in botte,"Un Barolo classico, ottenuto in una piccola vigna nel cuore del Lazzarito. Tipico nel colore e ancor di più nei profumi che evocano piccoli frutti e fiori appassiti, sottobosco e foglie secche, ha evidente profilo balsamico e mentolato, un naso caldo e avvolgente. In bocca rivela una forte mineralità, sapidità e ritorni speziati e balsamici, con tannino autorevole e saporito. Un vino da bere, dotato di piacevolezza e gusto. Sosta in botte grande per 3 anni. ",,Italia,,,,,,2
,0001237,,,,,,2013,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,3,25-29,Nebbiolo 100%,Polpettone di carne e riso,86,,86,,na,Rosso fermo,14,4k,36 mesi in botte,"Un Barolo di copiosa tonificante beva, lineare, fresco nei profumi e agile in bocca. Delicati sentori di confettura, frutti rossi e susine, quindi un cenno balsamico accompagnato da speziatura pepata. Equilibrio e freschezza in evidenza; preciso nei rimandi fruttati, con un ottimo e gustoso sapore. Matura per 36 mesi in botte grande. ",,Italia,,,,,,2
,0001237,,,,,,2014,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,3,25-29,Nebbiolo 100%,Braciole e spiedini con salsicce,86,,86,,na,Rosso fermo,14,6k,36 mesi in botte,"Riconoscimenti di lampone e ribes, delicate sfumature balsamiche e vegetali, di muschio e felce, con cenni di pepe bianco e cannella. Non manca la parte floreale, che ricorda petali di rosa e viola. Sapore segnato dall'intensa freschezza, in sinergia con la puntuale tannicità che caratterizza il finale ardito. Barolo della vigna Santa Caterina, ubicata all'interno della menzione Lazzarito, ottimo, piacevole e fresco Sosta per 36 mesi in botte grande da 20 ettolitri ",,Italia,,,,,,2
,0001237,,,,,,2015,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,3,25-29,Nebbiolo 100%,Involtini di manzo al sugo,87,,87,,na,Rosso fermo,14,6k,36 mesi in botte,"Luminoso granato. Si percepiscono frutti rossi, ciliegia sotto spirito e lampone in confettura, seguiti da liquirizia, sciroppo di mirtillo e cacao; emergono poi spezie e fiori appassiti. In bocca è caldo, con tannini giovani ma fini. Piacevoli ritorni floreali e fruttati sul finale. Sosta per 36 mesi in botte grande da 20 ettolitri ",,Italia,,,,,,2
,0001237,,,,,,2016,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,4,30-34,Nebbiolo 100%,Medaglioni di manzo con funghi porcini,90,,90,,na,Rosso fermo,14,6k,36 mesi in botte,"Granato luminoso. Bouquet di grande suadenza, con ricordi di abbondante frutta rossa, sbuffi balsamici e mentolati di anice. Al palato è avvolgente, equilibrato, di grande sapore, con finissimo tannino e lunga persistenza balsamica. Una bellissima espressione di Barolo ottenuto dalla vigna di proprietà della famiglia Porro, facente parte della menzione Lazzarito. Riposa per 36 mesi in botti da 20 ettolitri ",,Italia,,,,,,2
,0001237,,,,,,2017,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,4,30-34,Nebbiolo 100%,nd,90,,90,,na,Rosso fermo,14.5,6k,36 mesi in botte,,,Italia,,,,,,2
IN,0001237-1,3.36,19,0.59,22,3.3,,,Barolo Vigna Santa Caterina,DOCG,Barolo,Guido Porro,Piemonte,3★-4★,30-34,Nebbiolo 100%,Cannelloni alla fonduta – Polpettone di carne e riso – Braciole e spiedini con salsicce – Involtini di manzo al sugo – Medaglioni di manzo con funghi porcini,na,,na,,na,Rosso fermo,14.5,4k-6k,36 mesi in botte,,,Italia,,,,,,1
,0001234,,,,,,2014,Vignarionda,Barolo Vignarionda,DOCG,Barolo,Guido Porro,Piemonte,4,70-74,Nebbiolo 100%,Fonduta con tartufo,90,,90,,na,Rosso fermo,14.5,2k,36 mesi in botte,"Granato intenso e luminoso. Fragolina, ciliegia e confettura di more traducono una predisposizione fruttata, che concede in seconda battuta liquirizia, cacao e cannella. Profumi suadenti e particolarmente fini. La bocca regala sapidità; il pregiato tannino dona volume e austerità. Persistenza duratura giocata su tracce di frutta. Carattere e forte personalità, non tradisce l'austerità e l'importanza del vigneto di provenienza Riposa in botte grande per 36 mesi ",,Italia,,,,,,2
,0001234,,,,,,2015,Vignarionda,Barolo Vignarionda,DOCG,Barolo,Guido Porro,Piemonte,5,70-74,Nebbiolo 100%,Costolette di agnello alla Bergese,92,,92,,na,Rosso fermo,14.5,2k,36 mesi in botte,"Luminoso il colore granato. Impianto olfattivo austero, ma nello stesso tempo suadente e profondo, dai toni di frutta rossa, menta ed erbe aromatiche: a ciliegia e lampone si uniscono nuance di spezie e accenni balsamici, viola e rosa, poi susina e confetture. La bocca è di pari ricchezza ed espressione: è un Barolo imponente, colmo di sapore e tannini levigati, con sviluppo preciso e lungamente persistente. Un Vigna Rionda di grande carattere e forte personalità. Fermenta in acciaio e matura per 36 mesi in botti grandi. ",,Italia,,,,,,2
,0001234,,,,,,2016,Vignarionda,Barolo Vignarionda,DOCG,Barolo,Guido Porro,Piemonte,5,70-74,Nebbiolo 100%,Stracotto di vitello,93,,93,,na,Rosso fermo,14.5,2k,36 mesi in botte,"Luminoso granato, dai toni rubino L'olfatto è introdotto da piacevoli riconoscimenti di fragola, lampone e gelatina di ribes, insieme a una sottile fragranza di fiori e agrumi. In bocca si rivela di corpo, con pienezza tannica, in buon equilibrio con le morbidezze. Caratterizzato da una lunga e sapida persistenza, con ritorni coerenti  e appaganti. Un Barolo di ampia espressività, degno della Vigna Rionda Maturazione in botte grande per 36 mesi. ",,Italia,,,,,,2
,0001234,,,,,,2017,Vignarionda,Barolo Vignarionda,DOCG,Barolo,Guido Porro,Piemonte,5,70-74,Nebbiolo 100%,Quaglie allo spiedo,94,,94,,na,Rosso fermo,14.5,3k,36 mesi in botte,"Granato acquerellato e trasparente, naso affascinante e avvol- gente di fiori essiccati e nobili speziature balsamiche, noce mo- scata, cannella e zenzero con uno sbuffo di legno di sandalo, confetture di ribes e mora. Vino di profondità e purezza, al sorso rivela un'eccellente bevibilità, perfetto equilibrio con setosi tan- nini e piacevole sapidità. Nobile persistenza.",,Italia,,,,,,2
IN,0001234-1,9.95,56,0.77,29,4.8,,Vignarionda,Barolo Vignarionda,DOCG,Barolo,Guido Porro,Piemonte,4★-5★,70-74,Nebbiolo 100%,Fonduta con tartufo – Costolette di agnello alla Bergese – Stracotto di vitello – Quaglie allo spiedo,na,,na,,na,Rosso fermo,14.5,2k-3k,36 mesi in botte,,,Italia,,,,,,1
,0001440,,,,,,2013,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,3,25-29,Nebbiolo 100%,Cappone ripieno,86,,86,,na,Rosso fermo,14,22k,24 mesi in barrique,"Rosso rubino. Olfatto di sottobosco,  su cui emergono mora di rovo, succo di lampone e confettura di mirtillo, che lasciano presto spazio a scie olfattive di chiodi di garofano e pepe bianco. Poi godete della solidità del sorso, lungo e fruttato, con finale asciutto. Di media persistenza. Matura in barrique di Allier per 24 mesi. ",,Italia,,,,,,2
,0001440,,,,,,2014,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,3,25-29,Nebbiolo 100%,Tasca ripiena,86,,86,,na,Rosso fermo,14,22k,24 mesi in barrique,"Granato luminoso. All'olfatto si percepiscono sentori di piccoli frutti rossi, ribes, lampone, fragoline, poi sottobosco, violette, cannella, menta, liquirizia, pepe e caffè. In bocca è fresco, con un tannino fine e buona morbidezza. Il finale è succoso. Già godibile in gioventù. Riposa per 24 mesi in barrique. ",,Italia,,,,,,2
,0001440,,,,,,2015,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,2,25-29,Nebbiolo 100%,nd,84,,84,,na,Rosso fermo,14,20k,24 mesi in barrique,,,Italia,,,,,,2
,0001440,,,,,,2016,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,3,25-29,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14,20k,24 mesi in barrique,,,Italia,,,,,,2
,0001440,,,,,,2017,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,3,35-39,Nebbiolo 100%,nd,87,,87,,na,Rosso fermo,14,5k,24 mesi in barrique,,,Italia,,,,,,2
IN,0001440-1,1.47,8,0.22,11,2.8,,,Barbaresco Mountubert,DOCG,Barbaresco,Icardi,Piemonte,3★,35-39,Nebbiolo 100%,Cappone ripieno – Tasca ripiena,na,,na,,na,Rosso fermo,14,5k-22k,24 mesi in barrique,,,Italia,,,,,,1
,0001439,,,,,,2015,Starderi,Barbaresco Starderi,DOCG,Barbaresco,Icardi,Piemonte,3,35-39,Nebbiolo 100%,Guancia di vitello brasata,87,,87,,na,Rosso fermo,14,5k,24 mesi in barrique,"Manto granato. Al naso esprime sentori di ciliegie, Mmore, susine, pesca e rosa essiccata, liquirizia, chiodi di garofano e genziana. Il sorso è caldo e avvolgente, con un tannino fitto, molto nobile e  un lungo finale che lascia in bocca stuzzicanti ricordi di liquirizia. Riposa per 2 anni in barrique. ",,Italia,,,,,,2
,0001439,,,,,,2016,Starderi,Barbaresco Starderi,DOCG,Barbaresco,Icardi,Piemonte,3,35-39,Nebbiolo 100%,Tagliata di manzo al rosmarino,87,,87,,na,Rosso fermo,14,5k,24 mesi in barrique,"Granato intenso e luminoso. Esordio su riconoscimenti di prugna in confettura, mirtilli neri, iris, viola, geranio, fieno, radice, pepe, liquirizia, rabarbaro, genziana e note vegetali. Al palato  è ricco di gusto e di sostanza, dalla notevole forza tannica. Chiude su toni finemente fruttati e vegetali. Per 24 mesi in barrique ",,Italia,,,,,,2
,0001439,,,,,,2017,Starderi,Barbaresco Starderi,DOCG,Barbaresco,Icardi,Piemonte,3,55-59,Nebbiolo 100%,nd,88,,88,,na,Rosso fermo,14.5,5k,24 mesi in barrique,,,Italia,,,,,,2
IN,0001439-1,1.02,6,0.10,5,3.0,,Starderi,Barbaresco Starderi,DOCG,Barbaresco,Icardi,Piemonte,3★,55-59,Nebbiolo 100%,Guancia di vitello brasata – Tagliata di manzo al rosmarino,na,,na,,na,Rosso fermo,14.5,5k,24 mesi in barrique,,,Italia,,,,,,1
,0001130,,,,,,2015,Fossati,Barolo Fossati,DOCG,Barolo,Icardi,Piemonte,4,80-84,Nebbiolo 100%,Stracotto d'asino,89,,89,,na,Rosso fermo,14.5,5k,36 mesi in barrique,"Manto granato. All'olfatto apre su raffinati toni floreali di violetta, incalzati da pesca, gelatina alla mora, succo  di mirtilli e ribes, sambuco, aghi di pino, fieno, erbe balsamiche, menta  e pepe bianco. Al palato è potente e sapido; subito dona calore, per poi lasciare spazio alla freschezza. Già equilibrato e dotato di ottima bevibilità. Lunga persistenza con ricordi floreali e balsamici. Per 36 mesi in barrique ",,Italia,,,,,,2
,0001130,,,,,,2016,Fossati,Barolo Fossati,DOCG,Barolo,Icardi,Piemonte,4,80-84,Nebbiolo 100%,nd,89,,89,,na,Rosso fermo,14.5,4k,36 mesi in barrique,,,Italia,,,,,,2
IN,0001130-1,2.00,11,0.14,5,4.0,,Fossati,Barolo Fossati,DOCG,Barolo,Icardi,Piemonte,4★,80-84,Nebbiolo 100%,Stracotto d'asino,na,,na,,na,Rosso fermo,14.5,4k-5k,36 mesi in barrique,,,Italia,,,,,,1
,0001131,,,,,,2012,,Barolo Parej,DOCG,Barolo,Icardi,Piemonte,3,40-44,Nebbiolo 100%,Carbonada con polenta,86,,86,,na,Rosso fermo,14,14k,36 mesi in barrique,"Granato luminoso. Profilo olfattivo disposto su un ampio ventaglio, con sentori di ciliegia matura, amarena candita e bacche di ginepro, con lievi cenni di rabarbaro e china nel finale.  AI gusto ha struttura proporzionata, con tannini vigorosi e una calibrata dotazione alcolica. Sosta per 36 mesi in barrique. ",,Italia,,,,,,2
,0001131,,,,,,2013,,Barolo Parej,DOCG,Barolo,Icardi,Piemonte,3,40-44,Nebbiolo 100%,Maialino da latte al forno,87,,87,,na,Rosso fermo,14,14k,36 mesi in barrique,"Colore granato. Naso profondo di ciliegia sotto spirito, cassis, geranio, viola appassita, scorza di arancia, vaniglia e tabacco aromatizzato al cacao. Finale di media lunghezza. In bocca mostra già un buon equilibrio con tannini eleganti, ben amalgamati. Finale rinfrescante, agrumato, di media persistenza. Fermenta in acciaio e matura per 3 anni in barrique di Allier. ",,Italia,,,,,,2
,0001131,,,,,,2015,,Barolo Parej,DOCG,Barolo,Icardi,Piemonte,4,40-44,Nebbiolo 100%,Lepre in casseruola,89,,89,,na,Rosso fermo,14,14k,36 mesi in barrique,"Granato luminoso con sfumature aranciate. Sfoggia un bouquet ricco  di profumi fruttati su uno sfondo finemente balsamico: si distinguono ribes, lampone, susine, scorza d'arancia amara, erbe aromatiche, timo, rosmarinc e menta. All'ingresso in bocca è avvolgente e ricco di gusto. Il tannino è molto fine e l'ottima sinergia tra acidità e sapidità rinfresca il palato e aiuta la beva, mascherando il calore alcolico. Chiude su una lunga scia balsamica Riposa per 3 anni in barrique. ",,Italia,,,,,,2
,0001131,,,,,,2016,,Barolo Parej,DOCG,Barolo,Icardi,Piemonte,3,40-44,Nebbiolo 100%,Raviole con olio di nocciole e tartufo bianco d'Alba,87,,87,,na,Rosso fermo,14.5,14k,36 mesi in barrique,"Manto granato. All'olfatto apre su raffinati toni floreali di violetta, incalzati da pesca, gelatina alla mora, succo  di mirtilli e ribes, sambuco, aghi di pino, fieno, erbe balsamiche, menta  e pepe bianco. Al palato è potente e sapido; subito dona calore, per poi lasciare spazio alla freschezza. Già equilibrato e dotato di ottima bevibilità. Lunga persistenza con ricordi floreali e balsamici. Per 36 mesi in barrique ",,Italia,,,,,,2
IN,0001131-1,2.02,11,0.27,10,3.3,,,Barolo Parej,DOCG,Barolo,Icardi,Piemonte,3★-4★,40-44,Nebbiolo 100%,Carbonada con polenta – Maialino da latte al forno – Lepre in casseruola – Raviole con olio di nocciole e tartufo bianco d'Alba,na,,na,,na,Rosso fermo,14.5,14k,36 mesi in barrique,,,Italia,,,,,,1
,0001129,,,,,,2015,Serra – Riserva,Barolo Serra Riserva,DOCG,Barolo,Icardi,Piemonte,4,100-124,Nebbiolo 100%,Guancia di vitello brasata,90,,90,,na,Rosso fermo,14.5,2k,60 mesi in botte,"Manto rosso granato scuro. Sfoggia un bouquet ampio e balsa- mico con ricordi di violette appassite, confettura di more e mir- tilli, erbe officinali, caffè, cacao, legni, menta e liquirizia. Il sorso è caldo, molto ricco e coinvolgente. Chiude su lungo finale bal- samico, densamente tannico e molto sapido. ",,Italia,,,,,,2
IN,0001129-1,1.00,6,0.05,2,4.0,,Serra – Riserva,Barolo Serra Riserva,DOCG,Barolo,Icardi,Piemonte,4★,100-124,Nebbiolo 100%,Guancia di vitello brasata,na,,na,,na,Rosso fermo,14.5,2k,60 mesi in botte,,,Italia,,,,,,1
,0000911,,,,,,2014,,Barolo,DOCG,Barolo,L'Astemia Pentita,Piemonte,2,35-39,Nebbiolo 100%,Tajarin al tartufo,84,,84,,na,Rosso fermo,14,2k,36 mesi in botte grande,"| Granato acceso. Profilo odoroso di soddisfacente ricchezza, con evidenze di confettura di piccoli frutti rossi, scorza d'arancia, buccia di pesca e delicate ventate balsamiche ed eteree. Ll'assaggio lascia scoprire un tannino delicato e un piacevole bilanciamento delle parti. Sosta per 36 mesi in botte grande ",,Italia,,,,,,2
,0000911,,,,,,2015,,Barolo,DOCG,Barolo,L'Astemia Pentita,Piemonte,2,30-34,Nebbiolo 100%,nd,84,,84,,na,Rosso fermo,14.5,1k,36 mesi in botte grande,,,Italia,,,,,,2
,0000911,,,,,,2016,,Barolo,DOCG,Barolo,L'Astemia Pentita,Piemonte,3,30-34,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,2k,36 mesi in botte grande,,,Italia,,,,,,2
,0000911,,,,,,2017,,Barolo,DOCG,Barolo,L'Astemia Pentita,Piemonte,3,30-34,Nebbiolo 100%,nd,86,,86,,na,Rosso fermo,14.5,6k,36 mesi in botte grande,,,Italia,,,,,,2
IN,0000911-1,0.91,5,0.16,6,2.5,,,Barolo,DOCG,Barolo,L'Astemia Pentita,Piemonte,2★-3★,30-34,Nebbiolo 100%,Tajarin al tartufo,na,,na,,na,Rosso fermo,14.5,1k-6k,36 mesi in botte grande,,,Italia,,,,,,1
,0000910,,,,,,2013,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,4,75-79,Nebbiolo 100%,Cosciotto di agnello,89,,89,,na,Rosso fermo,14,4k,36 mesi in botte grande + 6 mesi in bottiglia,"Manto granato intenso. Il naso è profondo, con sentori tostati di caffè, tabacco dolce, genziana, rabarbaro, cannella, confettura di ciliegia, more  e ribes. Seguono cenni floreali di iris, geranio e violetta essiccata. In bocca  è coinvolgente. Sul palato i tannini sono eleganti. Il finale è lungo. Ottima corrispondenza con le suggestioni olfattive. Fermenta in acciaio, matura per 36 mesi in rovere da 35 ettolitri e affina in bottiglia per 6 mesi ",,Italia,,,,,,2
,0000910,,,,,,2014,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,4,65-69,Nebbiolo 100%,Cinghiale in umido,89,,89,,na,Rosso fermo,14,3k,36 mesi in botte grande + 6 mesi in bottiglia,"Colore granato lucente. Al naso colpisce subito per eleganza e profondità: si susseguono sensazioni di violette, fragoline, ribes, genziana, sottobosco, vaniglia e polvere di caffè, con echi balsamici. Al gusto evidenzia grande ricchezza, ma anche freschezza e trama tannica. Il sorso è caldo e avvolgente; sul finale rimangono a lungo strascichi di liquirizia. Matura per 36 mesi in botti da 32 ettolitri e affina in bottiglia per 6. ",,Italia,,,,,,2
,0000910,,,,,,2015,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,4,70-74,Nebbiolo 100%,Arrosto della vena,89,,89,,na,Rosso fermo,14.5,7k,36 mesi in botte grande + 6 mesi in bottiglia,"Colore granato deciso. Esordisce al naso con profumi di confettura di more e fragole, uniti a geranio e viole; quindi emergono radice, rabarbaro, sottobosco, humus, china e spezie. In bocca è ricco di gusto; l'equilibrio è caratterizzato da un tannino ancora giovane ma elegante Il sorso, caldo e avvolgente, lascia dietro di sé uno strascico di sensazioni di sottobosco. Riposa per 36 mesi in botti di rovere da 30 ettolitri ",,Italia,,,,,,2
,0000910,,,,,,2016,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,3,70-74,Nebbiolo 100%,Guancia di vitello su crema di melanzane,87,,87,,na,Rosso fermo,14.5,6k,36 mesi in botte grande + 6 mesi in bottiglia,"Granato classico. Esprime profumi  di confettura di frutti di bosco, mora, ribes e amarena, arricchiti da genziana, rabarbaro, liquirizia, pepe ed eucalipto. In bocca sprigiona tutta la sua potenza e calore, con un tannino ancora ruvido ed esuberante. Conclusione di lunga durata e ottima corrispondenza retrolfattiva Riposa per 36 mesi in botte grande. ",,Italia,,,,,,2
,0000910,,,,,,2017,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,4,70-74,Nebbiolo 100%,nd,89,,89,,na,Rosso fermo,14.5,2k,36 mesi in botte grande + 6 mesi in bottiglia,,,Italia,,,,,,2
IN,0000910-1,4.34,24,0.34,13,3.8,,Cannubi,Barolo Cannubi,DOCG,Barolo,L'Astemia Pentita,Piemonte,3★-4★,70-74,Nebbiolo 100%,Cosciotto di agnello – Cinghiale in umido – Arrosto della vena – Guancia di vitello su crema di melanzane,na,,na,,na,Rosso fermo,14.5,2k-7k,36 mesi in botte grande + 6 mesi in bottiglia,,,Italia,,,,,,1
,0000912,,,,,,2013,Cannubi – Riserva ,Barolo Cannubi Riserva,DOCG,Barolo,L'Astemia Pentita,Piemonte,4,85-89,Nebbiolo 100%,Filetto di cervo in salsa ai mirtilli,89,,89,,na,Rosso fermo,14,2k,42 mesi in tonneau + 18 mesi in bottiglia,"Granato scuro con riflessi aranciati. All'olfatto è elegante e profondo, caratterizzato da sentori di confettura di more e ciliegie, viole e fiori secchi, noce moscata, liquirizia, radice, genziana, sottobosco, cuoio e polvere di caffè. In bocca è robusto e potente; la fitta trama tannica è ben integrata e l'equilibrio è già raggiunto. Il finale è lunghissimo, con ricordi speziati. Un ottimo Cannubi. Da provare tra 5 o 6 anni. Sosta per 42 mesi in botti di rovere da 16 ettolitri e affina in bottiglia per 18 mesi ",,Italia,,,,,,2
,0000912,,,,,,2014,Cannubi – Riserva ,Barolo Cannubi Riserva,DOCG,Barolo,L'Astemia Pentita,Piemonte,3,85-89,Nebbiolo 100%,Stufato di manzo con patate,86,,86,,na,Rosso fermo,14.5,1k,42 mesi in tonneau + 18 mesi in bottiglia,"Manto granato scuro. All'olfatto si apre SUu toni floreali di violette essiccate, ciliegie sotto spirito, susine e gelsi; sprigiona sensazioni di menta, liquirizia e radice. Il sorso è potente. ll tannino, ancora giovane, unitamente alla rinfrescante acidità, si contrappone  al generoso calore alcolico. Epilogo durevole e balsamico. Attende per 42 mesi in tonneau e affina per 18 mesi in bottiglia ",,Italia,,,,,,2
IN,0000912-1,1.34,7,0.09,3,3.5,,Cannubi – Riserva ,Barolo Cannubi Riserva,DOCG,Barolo,L'Astemia Pentita,Piemonte,3★-4★,85-89,Nebbiolo 100%,Filetto di cervo in salsa ai mirtilli – Stufato di manzo con patate,na,,na,,na,Rosso fermo,14.5,1k-2k,42 mesi in tonneau + 18 mesi in bottiglia,,,Italia,,,,,,1
,0000909,,,,,,2013,Terlo,Barolo Terlo,DOCG,Barolo,L'Astemia Pentita,Piemonte,3,75-79,Nebbiolo 100%,Carrè di vitello,86,,86,,na,Rosso fermo,14,3k,36 mesi in botte grande,"| Colore granato luminoso. Esordio olfattivo di ciliegia sotto spirito, liquirizia, sciroppo di lampone, tostature di cacao e caffè, poi spezie e fiori appassiti. In bocca è caldo, con tannini giovani ma fini. Gradevoli ritorni floreali e fruttati sul finale. Passaggio in botte grande di rovere per 36 mesi ",,Italia,,,,,,2
